axis;inner_effect_state;mcm_preview_symbol;signature_label;world_count;worlds;total_count;world_relative_ratio_sum;recoupling_balance;stdev_recoupling_balance;avg_mcm_rekopplung_quality;avg_mcm_strain_quality;avg_mcm_carry_quality;avg_rezeptor_field_intake_pressure;avg_axis_z;avg_perception_adaptation_potential;avg_perception_visual_focus_tendency;avg_perception_visual_distance_tendency;avg_perception_auditory_listen_tendency;avg_perception_auditory_softening_tendency;avg_perception_felt_distance_tendency
hoeren_hin;inner_effect_stable;dio_mcm_episode_0e7qvj1;einzelspur;1;BTC2025_1H;321;0.16098294884653963;0.5728365700934579;0.0;0.720581492211838;0.13291277258566978;0.5487376947040499;0.05932859813084112;0.8347203956386293;0.1117306386292835;0.6525813707165109;0.31610571651090347;0.8868886604361371;0.11311133956386293;0.13141482242990654
sehen_fokus;inner_effect_stable;dio_mcm_episode_0e7qvj1;einzelspur;1;BTC2025_1H;263;0.13189568706118354;0.5501250798479087;0.0;0.7131875855513308;0.13881622433460078;0.5338123003802282;0.09698512547528516;0.9749265475285172;0.11494730418250951;0.6717802319391635;0.25676366539923956;0.8360808517110266;0.1639191482889734;0.13641752091254752
sehen_abstand;inner_effect_stable;dio_mcm_episode_0e7qvj1;einzelspur;1;BTC2025_1H;141;0.07071213640922769;0.5209485443262412;0.0;0.7008294397163121;0.15412287943262412;0.5241530141843972;0.10303206382978723;0.9591056241134751;0.13741183687943262;0.6309398723404255;0.43196426241134755;0.811132659574468;0.1888673404255319;0.18390289361702128
sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;einzelspur;1;BTC2025_1H;100;0.05015045135406219;0.43805957250000005;0.0;0.66117424;0.19023629;0.46970081;0.13151351;1.8374350999999998;0.15647025;0.61993906;0.51738349;0.7658888;0.2341112;0.23890539
ausgeglichen;inner_effect_stable;dio_mcm_episode_0e7qvj1;einzelspur;1;BTC2025_1H;97;0.04864593781344032;0.5377505644329897;0.0;0.7166512061855671;0.15136442268041236;0.5568755051546392;0.1101448762886598;0.22686892783505153;0.12881852577319589;0.6412287113402062;0.3322689072164948;0.798409824742268;0.20159017525773196;0.16231759793814432
hoeren_leise;inner_effect_stable;dio_mcm_episode_0e7qvj1;einzelspur;1;BTC2025_1H;85;0.04262788365095286;0.47155410882352944;0.0;0.6868113647058823;0.17033258823529412;0.49786371764705883;0.1796986705882353;1.0015455058823528;0.15356523529411764;0.6172951058823529;0.3597454823529412;0.6835185882352941;0.3164814117647059;0.2237735176470588
feldinput;inner_effect_stable;dio_mcm_episode_0e7qvj1;einzelspur;1;BTC2025_1H;67;0.033600802407221665;0.44893374626865673;0.0;0.6793049104477612;0.17913955223880595;0.48449873134328364;0.20492644776119404;1.0936229701492537;0.1487567910447761;0.6248432537313432;0.31179282089552235;0.6918392686567164;0.3081607313432836;0.22183202985074627
hoeren_hin;inner_effect_stable;dio_mcm_episode_1hdpu9s;einzelspur;1;BTC2025_1H;67;0.033600802407221665;0.5683479067164179;0.0;0.7196785223880596;0.1357022537313433;0.5502775522388059;0.06251344776119402;0.7776950447761194;0.11376076119402985;0.6490674925373134;0.3299579701492537;0.8805729850746269;0.11942701492537312;0.13121623880597014
sehen_fokus;inner_effect_stable;dio_mcm_episode_1hdpu9s;einzelspur;1;BTC2025_1H;65;0.03259779338014042;0.5550858807692307;0.0;0.7139445076923077;0.1363244923076923;0.5307366307692307;0.09013653846153846;1.1118306307692307;0.11034989230769231;0.6759217076923076;0.23157756923076925;0.846523923076923;0.1534760769230769;0.1263682923076923
sehen_fokus;inner_effect_stable;dio_mcm_episode_1ahj81f;einzelspur;1;BTC2025_1H;54;0.02708124373119358;0.542949537037037;0.0;0.7022695;0.13761316666666665;0.4930094074074074;0.08682718518518519;1.0735072962962964;0.10905266666666666;0.6747623888888888;0.23560668518518518;0.8528626851851853;0.14713731481481482;0.11896418518518519
hoeren_hin;inner_effect_stable;dio_mcm_episode_1q3us3f;einzelspur;1;BTC2025_1H;50;0.025075225677031094;0.581305415;0.0;0.72788686;0.13210392;0.5634973999999999;0.0579101;0.81539516;0.11120758;0.65118592;0.3140922;0.88474836;0.11525164;0.12521374
hoeren_hin;inner_effect_stable;dio_mcm_episode_1ahj81f;einzelspur;1;BTC2025_1H;42;0.02106318956870612;0.5525133571428572;0.0;0.7076544047619048;0.1379760476190476;0.520579761904762;0.06866;0.7183277857142857;0.1150637142857143;0.6496941904761905;0.3290335238095238;0.8739979523809525;0.12600204761904762;0.13508130952380953
feldinput;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;einzelspur;1;BTC2025_1H;37;0.018555667001003008;0.3105956148648648;0.0;0.6280049189189189;0.2385927837837838;0.4149186486486487;0.31526608108108106;2.525526864864865;0.17984894594594594;0.5941394324324325;0.3267809189189189;0.5510704324324325;0.4489295675675676;0.31683613513513514
sehen_fokus;inner_effect_stable;dio_mcm_episode_1q3us3f;einzelspur;1;BTC2025_1H;32;0.0160481444332999;0.5618208437500001;0.0;0.7217996250000001;0.13496703125;0.54391159375;0.100047;0.9021225;0.114266875;0.66957784375;0.2413918125;0.8271063125;0.1728936875;0.13005678125
ausgeglichen;inner_effect_stable;dio_mcm_episode_1hdpu9s;einzelspur;1;BTC2025_1H;25;0.012537612838515547;0.5293255099999999;0.0;0.71176328;0.15219592;0.5446072000000001;0.1209674;0.24898527999999998;0.12854956;0.64170504;0.32214551999999996;0.7945895199999999;0.20541048;0.16089436
sehen_abstand;inner_effect_stable;dio_mcm_episode_1hdpu9s;einzelspur;1;BTC2025_1H;25;0.012537612838515547;0.5227981800000001;0.0;0.70430108;0.1540094;0.53405796;0.109974;0.81950216;0.13815724;0.63093032;0.41838756000000005;0.7969292;0.2030708;0.18242252
hoeren_leise;inner_effect_stable;dio_mcm_episode_1hdpu9s;einzelspur;1;BTC2025_1H;20;0.010030090270812437;0.4880736625;0.0;0.6953245;0.16649225;0.5182728;0.16303435;0.8082608499999999;0.1475195;0.61813225;0.3406605;0.70492525;0.29507475;0.210975
hoeren_leise;inner_effect_stable;dio_mcm_episode_1q3us3f;einzelspur;1;BTC2025_1H;20;0.010030090270812437;0.4803916124999999;0.0;0.6945382999999999;0.168849;0.51190035;0.18119075;0.9857058999999999;0.15206945;0.60999795;0.3454808;0.68527285;0.31472715;0.2239204
ausgeglichen;inner_effect_stable;dio_mcm_episode_1q3us3f;einzelspur;1;BTC2025_1H;19;0.009528585757271816;0.5399971578947369;0.0;0.7192626842105263;0.14969873684210527;0.552809947368421;0.11826715789473684;0.20268357894736844;0.1279727894736842;0.6409378421052632;0.3132026842105263;0.7916336315789474;0.20836636842105263;0.15932884210526316
hoeren_leise;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;einzelspur;1;BTC2025_1H;18;0.009027081243731194;0.4071085972222222;0.0;0.6600937222222222;0.20123544444444444;0.468202;0.2069987222222222;1.451925111111111;0.16619905555555556;0.6191825555555556;0.38389561111111115;0.6336381666666666;0.36636183333333333;0.25835505555555555
hoeren_leise;inner_effect_stable;dio_mcm_episode_1ahj81f;einzelspur;1;BTC2025_1H;18;0.009027081243731194;0.47226476388888894;0.0;0.6828147222222223;0.16979816666666667;0.47802938888888885;0.16300716666666668;0.8509946666666667;0.14615805555555555;0.6322281666666667;0.32382116666666666;0.7001923888888889;0.2998076111111111;0.2033532222222222
sehen_abstand;inner_effect_stable;dio_mcm_episode_1ahj81f;einzelspur;1;BTC2025_1H;18;0.009027081243731194;0.4951653611111111;0.0;0.6869690555555555;0.16212766666666667;0.48456316666666666;0.11870411111111112;0.925808;0.1422777222222222;0.6299763333333334;0.428726;0.7801341666666667;0.21986583333333332;0.19100755555555557
fuehlen_abstand;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;einzelspur;1;BTC2025_1H;17;0.008525576730190571;0.3744849411764706;0.0;0.6393121764705882;0.21501276470588235;0.435774;0.19925788235294117;1.553358588235294;0.16597905882352942;0.6157014705882353;0.43125758823529414;0.6811382352941177;0.31886176470588234;0.28255876470588237
ausgeglichen;inner_effect_stable;dio_mcm_episode_1ahj81f;einzelspur;1;BTC2025_1H;16;0.00802407221664995;0.5211395625;0.0;0.702393;0.1521905;0.5149628125;0.11625175;0.2337771875;0.1296289375;0.6432046875;0.3317773125;0.7925624375;0.2074375625;0.1615211875
feldinput;inner_effect_stable;dio_mcm_episode_1hdpu9s;einzelspur;1;BTC2025_1H;16;0.00802407221664995;0.442062359375;0.0;0.676637125;0.18226462499999999;0.4794955;0.2092405625;1.14960825;0.150204;0.6123155625;0.31590475;0.6879750625;0.3120249375;0.2285431875
hoeren_hin;inner_effect_stable;dio_mcm_episode_0mji3u6;einzelspur;1;BTC2025_1H;15;0.007522567703109328;0.5659272333333332;0.0;0.7092924666666666;0.12960126666666666;0.5198523333333334;0.05505586666666666;0.9050795333333334;0.11247046666666667;0.6512281333333333;0.320541;0.8946810666666667;0.10531893333333334;0.14714619999999998
sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_1hdpu9s;einzelspur;1;BTC2025_1H;14;0.007021063189568706;0.4564387499999999;0.0;0.6704292142857142;0.1831597142857143;0.47772964285714287;0.12332299999999999;1.4428730714285716;0.14940857142857142;0.6255572142857143;0.4790115714285714;0.7802942857142857;0.21970571428571425;0.22051942857142856
sehen_abstand;inner_effect_stable;dio_mcm_episode_1q3us3f;einzelspur;1;BTC2025_1H;12;0.006018054162487462;0.5181278958333333;0.0;0.7015935;0.15577341666666666;0.5283319166666667;0.11076874999999999;0.829647;0.13909483333333333;0.6317625;0.41937416666666666;0.7918295833333334;0.20817041666666666;0.1839094166666667
sehen_fokus;inner_effect_stable;dio_mcm_episode_0mji3u6;einzelspur;1;BTC2025_1H;11;0.005516549648946841;0.5398342954545454;0.0;0.7052949090909091;0.14032490909090908;0.5138616363636364;0.10054281818181819;0.8638568181818183;0.1181061818181818;0.6684202727272728;0.2722061818181818;0.8288596363636365;0.17114036363636365;0.14521145454545456
feldinput;inner_effect_carried_unrest;dio_mcm_episode_1ahj81f;einzelspur;1;BTC2025_1H;10;0.0050150451354062184;0.28650972499999994;0.0;0.6134335999999999;0.2486037;0.3804113;0.3132807;2.4997622;0.1810023;0.5686082;0.3306982;0.549616;0.450384;0.3269411
feldinput;inner_effect_carried_unrest;dio_mcm_episode_1hdpu9s;einzelspur;1;BTC2025_1H;10;0.0050150451354062184;0.31859575000000007;0.0;0.6287537000000001;0.23421039999999999;0.4141755;0.3037902;2.3766016;0.183447;0.5910614;0.3768469;0.5542733;0.4457267;0.3170763
sehen_fokus;inner_effect_stable;dio_mcm_episode_1jx2k4i;einzelspur;1;BTC2025_1H;10;0.0050150451354062184;0.5547788499999999;0.0;0.7063896;0.1317741;0.5040335;0.0793466;1.3915674;0.10199949999999999;0.684384;0.1886291;0.8681981000000001;0.1318019;0.1089704
fuehlen_abstand;inner_effect_stable;dio_mcm_episode_0e7qvj1;einzelspur;1;BTC2025_1H;9;0.004513540621865597;0.4517253888888888;0.0;0.6693527777777777;0.17490344444444444;0.46484511111111115;0.17089577777777779;0.9232174444444444;0.14827666666666667;0.63793;0.3724213333333333;0.7429737777777778;0.2570262222222222;0.2399
sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_0mji3u6;einzelspur;1;BTC2025_1H;8;0.004012036108324975;0.43658925;0.0;0.6576845;0.190787875;0.46395775;0.1212295;2.1657539999999997;0.15821975;0.607111;0.549313125;0.77758625;0.22241375000000002;0.248869125
ausgeglichen;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;einzelspur;1;BTC2025_1H;7;0.003510531594784353;0.49646775;0.0;0.6997451428571428;0.17220742857142857;0.5449262857142857;0.12427985714285715;0.23606614285714286;0.13213957142857144;0.6477522857142858;0.31954614285714283;0.7852581428571429;0.21474185714285715;0.18612857142857142
feldinput;inner_effect_stable;dio_mcm_episode_1ahj81f;einzelspur;1;BTC2025_1H;7;0.003510531594784353;0.45335957142857136;0.0;0.6765232857142857;0.1778327142857143;0.47386999999999996;0.181324;0.7873282857142857;0.14409342857142857;0.6313157142857142;0.32874457142857144;0.7232861428571429;0.2767138571428572;0.20620685714285716
feldinput;inner_effect_tipping;dio_mcm_episode_0e7qvj1;einzelspur;1;BTC2025_1H;7;0.003510531594784353;0.16487371428571435;0.0;0.5766355714285715;0.3056792857142857;0.3486787142857143;0.4243302857142857;3.940879285714286;0.213558;0.5690887142857143;0.36623485714285714;0.401725;0.598275;0.4049205714285714
fuehlen_abstand;inner_effect_tipping;dio_mcm_episode_0e7qvj1;einzelspur;1;BTC2025_1H;7;0.003510531594784353;0.17943503571428565;0.0;0.57344;0.3026642857142857;0.35617657142857145;0.36536271428571426;3.602515142857143;0.22445885714285715;0.5637547142857143;0.5295761428571428;0.4268204285714286;0.5731795714285715;0.4212808571428571
hoeren_hin;inner_effect_stable;dio_mcm_episode_1jx2k4i;einzelspur;1;BTC2025_1H;7;0.003510531594784353;0.5396097142857142;0.0;0.6992444285714285;0.1428417142857143;0.5067862857142857;0.067172;0.7131338571428572;0.11495057142857143;0.657017;0.31680442857142854;0.8734227142857142;0.1265772857142857;0.14334571428571427
sehen_fokus;inner_effect_stable;dio_mcm_episode_1rxdw4p;einzelspur;1;BTC2025_1H;7;0.003510531594784353;0.554399607142857;0.0;0.7093854285714285;0.13376557142857143;0.5159111428571429;0.084881;1.254372;0.10564085714285713;0.6802337142857143;0.19219142857142857;0.8518624285714286;0.14813757142857145;0.12027142857142857
hoeren_leise;inner_effect_stable;dio_mcm_episode_1rxdw4p;einzelspur;1;BTC2025_1H;5;0.0025075225677031092;0.5013622;0.0;0.6983362;0.1569488;0.5132618;0.1601008;0.8148692000000001;0.1441984;0.6292362;0.3107408;0.7041934000000001;0.29580660000000003;0.20111379999999998
sehen_abstand;inner_effect_stable;dio_mcm_episode_0mji3u6;einzelspur;1;BTC2025_1H;5;0.0025075225677031092;0.5032532499999999;0.0;0.6927004;0.16044540000000002;0.5095094;0.11600700000000001;1.4394946000000002;0.1449122;0.6235108;0.478683;0.7973874000000001;0.2026126;0.1996276
sehen_fokus;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;einzelspur;1;BTC2025_1H;5;0.0025075225677031092;0.48022580000000004;0.0;0.6902184;0.1756;0.5213127999999999;0.1375704;0.6494608000000001;0.1270146;0.6619346;0.26037140000000003;0.7814504;0.2185496;0.17545380000000002
feldinput;inner_effect_stable;dio_mcm_episode_1q3us3f;einzelspur;1;BTC2025_1H;4;0.0020060180541624875;0.46795375;0.0;0.691503;0.17283575;0.50937975;0.202854;1.0667285;0.14453875;0.61721775;0.28162925;0.7003125;0.2996875;0.21789975
hoeren_hin;inner_effect_stable;dio_mcm_episode_0z748ck;einzelspur;1;BTC2025_1H;4;0.0020060180541624875;0.5827035;0.0;0.72309725;0.12501925;0.54689375;0.061498;0.83936875;0.1052605;0.6634285;0.2505505;0.8874035;0.1125965;0.12111999999999999
hoeren_hin;inner_effect_stable;dio_mcm_episode_1rxdw4p;einzelspur;1;BTC2025_1H;4;0.0020060180541624875;0.5289748125000001;0.0;0.69666075;0.15032375;0.503209;0.06944875;0.7050935;0.1123755;0.6576445;0.29350975;0.87253225;0.12746775;0.13540325
hoeren_leise;inner_effect_carried_unrest;dio_mcm_episode_1hdpu9s;einzelspur;1;BTC2025_1H;4;0.0020060180541624875;0.36079031249999993;0.0;0.6427912499999999;0.221878;0.44282374999999996;0.24049175;1.818543;0.1807655;0.59895425;0.4469365;0.5930345;0.4069655;0.29304375
sehen_abstand;inner_effect_stable;dio_mcm_episode_1jx2k4i;einzelspur;1;BTC2025_1H;4;0.0020060180541624875;0.46815475000000006;0.0;0.6722440000000001;0.173238;0.4700385;0.123405;1.18568475;0.14605175;0.6361155000000001;0.4539995;0.776671;0.223329;0.20132475
sehen_abstand;inner_effect_stable;dio_mcm_episode_1rxdw4p;einzelspur;1;BTC2025_1H;4;0.0020060180541624875;0.5163725;0.0;0.69613125;0.15263175;0.5073495;0.10850800000000001;0.75276;0.13428475;0.63476475;0.41189675000000003;0.8140375;0.1859625;0.171608
sehen_abstand;inner_effect_stable;dio_mcm_episode_1u741ze;einzelspur;1;BTC2025_1H;4;0.0020060180541624875;0.5106860625;0.0;0.6900072500000001;0.15157325;0.4983705;0.11099175;1.349666;0.1431055;0.63029475;0.469947;0.8091665;0.1908335;0.20522975
sehen_fokus;inner_effect_carried_unrest;dio_mcm_episode_1hdpu9s;einzelspur;1;BTC2025_1H;4;0.0020060180541624875;0.46023206250000004;0.0;0.67487825;0.1792105;0.485078;0.14174275;0.69605125;0.1301655;0.6633439999999999;0.2948865;0.7849505;0.2150495;0.18152475
feldinput;inner_effect_carried_unrest;dio_mcm_episode_1rxdw4p;einzelspur;1;BTC2025_1H;3;0.0015045135406218655;0.28534191666666675;0.0;0.6146916666666667;0.24820633333333333;0.382442;0.32457366666666665;2.6463136666666665;0.181377;0.5799183333333333;0.3170176666666667;0.5419126666666667;0.4580873333333333;0.3284993333333333
feldinput;inner_effect_tipping;dio_mcm_episode_1ahj81f;einzelspur;1;BTC2025_1H;3;0.0015045135406218655;0.15409216666666664;0.0;0.5742646666666666;0.308997;0.344147;0.444702;4.205248;0.21858266666666668;0.5531983333333333;0.3646856666666667;0.37988833333333333;0.6201116666666667;0.42593299999999995
feldinput;inner_effect_tipping;dio_mcm_episode_1hdpu9s;einzelspur;1;BTC2025_1H;3;0.0015045135406218655;0.19753174999999995;0.0;0.5882683333333333;0.28744033333333335;0.3525856666666667;0.41318499999999997;3.7962443333333336;0.21171366666666666;0.5298176666666667;0.38697766666666666;0.4244556666666666;0.5755443333333333;0.40629866666666664
fuehlen_abstand;inner_effect_carried_unrest;dio_mcm_episode_0mji3u6;einzelspur;1;BTC2025_1H;3;0.0015045135406218655;0.3303872499999999;0.0;0.6275343333333333;0.23135233333333335;0.4109793333333333;0.263179;1.9774960000000001;0.17924033333333333;0.59175;0.4235773333333333;0.605224;0.394776;0.31127166666666667
fuehlen_abstand;inner_effect_carried_unrest;dio_mcm_episode_1hdpu9s;einzelspur;1;BTC2025_1H;3;0.0015045135406218655;0.3596119166666667;0.0;0.637555;0.2192913333333333;0.43378500000000003;0.234607;2.3036446666666666;0.18450866666666665;0.5767276666666666;0.45142166666666667;0.5939546666666667;0.40604533333333337;0.333351
sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_1ahj81f;einzelspur;1;BTC2025_1H;3;0.0015045135406218655;0.4306580833333333;0.0;0.6542283333333333;0.19101;0.44383833333333333;0.130241;1.0320096666666667;0.14523466666666665;0.6317136666666666;0.43905433333333327;0.7816266666666666;0.2183733333333333;0.21219033333333334
sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_1jx2k4i;einzelspur;1;BTC2025_1H;3;0.0015045135406218655;0.3838338333333332;0.0;0.6296783333333332;0.21484566666666668;0.4115743333333333;0.12399533333333333;2.3426883333333333;0.16287733333333332;0.612232;0.5665203333333334;0.7537133333333333;0.24628666666666665;0.24748466666666666
ausgeglichen;inner_effect_stable;dio_mcm_episode_0qzjuvj;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.541255375;0.0;0.7197005;0.1522755;0.5661704999999999;0.10467850000000001;0.325988;0.1250175;0.6468375;0.3514465;0.827963;0.172037;0.1474745
ausgeglichen;inner_effect_stable;dio_mcm_episode_1jx2k4i;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.520002625;0.0;0.703267;0.1539755;0.523329;0.1171555;0.1840355;0.12281349999999999;0.6471755;0.2592895;0.7946955;0.2053045;0.1571685
feldinput;inner_effect_carried_unrest;dio_mcm_episode_0mji3u6;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.4033454999999999;0.0;0.6647865;0.2080845;0.489501;0.213426;1.2039235;0.160221;0.6183565;0.37665;0.667034;0.332966;0.24806299999999998
feldinput;inner_effect_carried_unrest;dio_mcm_episode_1q3us3f;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.3398064999999999;0.0;0.638709;0.226863;0.4259285;0.288158;2.173739;0.166593;0.5867325;0.28468000000000004;0.6018209999999999;0.398179;0.29358700000000004
feldinput;inner_effect_stable;dio_mcm_episode_1rxdw4p;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.41908449999999997;0.0;0.6595795;0.19012;0.440715;0.2015;1.0491570000000001;0.136014;0.6389955;0.21239550000000001;0.7104820000000001;0.289518;0.202337
fuehlen_abstand;inner_effect_carried_unrest;dio_mcm_episode_1ahj81f;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.30092312500000007;0.0;0.6098265;0.248894;0.3874915;0.24003750000000001;1.9291165;0.17859000000000003;0.596944;0.4208045;0.6030805;0.3969195;0.3079965
fuehlen_abstand;inner_effect_tipping;dio_mcm_episode_07llqq8;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.18553199999999986;0.0;0.5730234999999999;0.30005550000000003;0.3558495;0.349744;3.336915;0.221577;0.596476;0.5523405;0.45052149999999996;0.5494785;0.4033005
hoeren_hin;inner_effect_stable;dio_mcm_episode_0ac3vc1;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.5383252500000001;0.0;0.7023995000000001;0.14130500000000001;0.5173635;0.09107699999999999;0.6354625;0.118983;0.654143;0.316198;0.8648205;0.1351795;0.169374
hoeren_leise;inner_effect_carried_unrest;dio_mcm_episode_1jx2k4i;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.35489000000000004;0.0;0.627403;0.2232765;0.40220049999999996;0.196946;1.238147;0.165067;0.613192;0.41757900000000003;0.6573145;0.3426855;0.252596
hoeren_leise;inner_effect_stable;dio_mcm_episode_0z748ck;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.42163962499999996;0.0;0.6691265;0.18990400000000002;0.470457;0.2303315;1.693227;0.174405;0.625055;0.42622399999999994;0.6069135;0.3930865;0.26338
hoeren_leise;inner_effect_stable;dio_mcm_episode_17i4j9o;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.4568217499999999;0.0;0.668742;0.173462;0.4509015;0.153833;0.5668405000000001;0.1364645;0.6306415;0.2737635;0.731663;0.268337;0.1929215
hoeren_leise;inner_effect_stable;dio_mcm_episode_1jx2k4i;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.46572575;0.0;0.6803395;0.1703365;0.4816685;0.17710900000000002;0.9308974999999999;0.14769;0.6160939999999999;0.308409;0.691343;0.30865699999999996;0.219769
sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_01yulb6;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.3254375;0.0;0.618292;0.238895;0.418327;0.21583799999999997;3.3040335;0.2029915;0.633908;0.660013;0.588131;0.41186900000000004;0.3292405
sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_0ultars;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.38448237499999993;0.0;0.6287754999999999;0.2135275;0.413562;0.12306249999999999;2.8020695;0.1666055;0.6109335;0.6111960000000001;0.7771215;0.2228785;0.279822
sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_1rkfb77;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.41373887500000006;0.0;0.6521995;0.195139;0.44665900000000003;0.1732865;1.3687455;0.1599155;0.6461565;0.4718025;0.7277075;0.2722925;0.2500435
sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_1rxdw4p;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.48055000000000003;0.0;0.674659;0.1646745;0.4731575;0.11773800000000001;1.3388845;0.1445015;0.6277524999999999;0.4688985;0.7979495000000001;0.2020505;0.2039465
sehen_abstand;inner_effect_stable;dio_mcm_episode_0jbl5pq;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.5468812499999999;0.0;0.712761;0.140654;0.5397185;0.100903;0.68299;0.1332295;0.6351614999999999;0.4051115;0.8154095;0.1845905;0.170051
sehen_abstand;inner_effect_stable;dio_mcm_episode_0lne9ax;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.5279181250000001;0.0;0.6980930000000001;0.1463355;0.5154529999999999;0.0953575;1.7771124999999999;0.145638;0.628197;0.511517;0.813762;0.18623800000000001;0.20458199999999999
sehen_abstand;inner_effect_stable;dio_mcm_episode_0z748ck;einzelspur;1;BTC2025_1H;2;0.0010030090270812437;0.553257125;0.0;0.7097765;0.13818249999999999;0.533261;0.0733475;0.7258635;0.128836;0.6450155;0.409281;0.843065;0.156935;0.16366399999999998
