axis;inner_effect_state;mcm_preview_symbol;signature_label;world_count;worlds;total_count;world_relative_ratio_sum;recoupling_balance;stdev_recoupling_balance;avg_mcm_rekopplung_quality;avg_mcm_strain_quality;avg_mcm_carry_quality;avg_rezeptor_field_intake_pressure;avg_axis_z;avg_perception_adaptation_potential;avg_perception_visual_focus_tendency;avg_perception_visual_distance_tendency;avg_perception_auditory_listen_tendency;avg_perception_auditory_softening_tendency;avg_perception_felt_distance_tendency
hoeren_hin;inner_effect_stable;dio_mcm_episode_0e7qvj1;einzelspur;1;SOL2025_1H;296;0.14844533600802406;0.5681619248310811;0.0;0.718984027027027;0.13488328716216216;0.547879125;0.06375526013513513;0.8570575844594595;0.1133523445945946;0.6520076452702702;0.3194246790540541;0.8807532905405405;0.11924670945945946;0.13594853040540542
sehen_fokus;inner_effect_stable;dio_mcm_episode_0e7qvj1;einzelspur;1;SOL2025_1H;281;0.14092276830491474;0.5467850756227759;0.0;0.7112514697508897;0.13892865480427047;0.5299136334519573;0.10215095729537367;1.0508817722419928;0.11612811743772243;0.6739767508896798;0.2542731352313167;0.8283868825622775;0.17161311743772242;0.13883479003558719
sehen_abstand;inner_effect_stable;dio_mcm_episode_0e7qvj1;einzelspur;1;SOL2025_1H;166;0.08324974924774323;0.5141973253012049;0.0;0.6989048614457831;0.1564745;0.5230468614457832;0.11293214457831324;0.9521790843373493;0.14122022891566263;0.6290924698795181;0.4399764698795181;0.7948589397590361;0.20514106024096385;0.19190548192771084
sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;einzelspur;1;SOL2025_1H;119;0.059679037111334;0.4391362184873949;0.0;0.6631224285714286;0.19069821848739496;0.47513918487394957;0.13315196638655463;1.6916254285714285;0.15650381512605044;0.6189408235294118;0.5140771932773109;0.7631025042016806;0.23689749579831934;0.238080487394958
hoeren_leise;inner_effect_stable;dio_mcm_episode_0e7qvj1;einzelspur;1;SOL2025_1H;83;0.04162487462387161;0.4606475180722891;0.0;0.685438891566265;0.17535451807228916;0.49671078313253014;0.19774742168674697;1.1140003373493976;0.15821392771084336;0.6177386265060241;0.36344996385542166;0.6611540963855422;0.3388459036144578;0.23388620481927713
hoeren_hin;inner_effect_stable;dio_mcm_episode_1hdpu9s;einzelspur;1;SOL2025_1H;80;0.04012036108324975;0.56827979375;0.0;0.7182330625;0.134249125;0.54560615;0.062816575;0.89062895;0.11211366249999999;0.6536448375;0.31720611249999997;0.8844935375;0.1155064625;0.13023257500000002
ausgeglichen;inner_effect_stable;dio_mcm_episode_0e7qvj1;einzelspur;1;SOL2025_1H;79;0.03961885656970913;0.5312141297468356;0.0;0.7138751139240507;0.15386527848101267;0.5528010126582279;0.11518282278481014;0.24516892405063292;0.1298245189873418;0.6425508734177215;0.3261326582278481;0.7905721139240506;0.2094278860759494;0.16608507594936708
sehen_fokus;inner_effect_stable;dio_mcm_episode_1hdpu9s;einzelspur;1;SOL2025_1H;73;0.0366098294884654;0.5480605924657534;0.0;0.7117785342465753;0.13904150684931504;0.5294932739726027;0.09870573972602739;1.0527546438356166;0.1142772191780822;0.6740338356164384;0.24226886301369863;0.830458301369863;0.16954169863013696;0.13379728767123286
feldinput;inner_effect_stable;dio_mcm_episode_0e7qvj1;einzelspur;1;SOL2025_1H;64;0.0320962888665998;0.45319708203125;0.0;0.6821683125;0.177869953125;0.49162728125;0.204405109375;0.995077734375;0.147694171875;0.626838734375;0.314375265625;0.69951784375;0.30048215625;0.21907546875
hoeren_hin;inner_effect_stable;dio_mcm_episode_1ahj81f;einzelspur;1;SOL2025_1H;47;0.02357071213640923;0.5531286489361703;0.0;0.7067763191489362;0.13708844680851065;0.515759914893617;0.06623689361702127;0.8366602340425532;0.11199602127659575;0.6556184468085107;0.30930431914893614;0.8784807872340427;0.12151921276595744;0.12665844680851063
