intake_key;axis;inner_effect_state;mcm_preview_symbol;intake_memory_quality;total_events;max_world_count;recoupling_balance;strain_quality;carry_quality;field_intake_pressure;focus_pull;distance_pull;softening_pull;sharpening_pull;contact_relief_pull;stable_listening_pull;dominant_suggestion;suggestion_family;passive_note
feldinput|inner_effect_stable|dio_mcm_episode_0e7qvj1;feldinput;inner_effect_stable;dio_mcm_episode_0e7qvj1;contact_loaded_intake;126;1;0.454238;0.178112;0.498329;0.209947;0.128232;0.288747;0.23667;0.180132;0.359999;0.078145;contact_relief_pull;aufnahme_entlasten;passive_suggestion_not_action
feldinput|inner_effect_carried_unrest|dio_mcm_episode_0e7qvj1;feldinput;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;contact_loaded_intake;92;1;0.345799;0.225983;0.440227;0.281382;0.097948;0.367249;0.298609;0.149303;0.411256;0.044233;contact_relief_pull;aufnahme_entlasten;passive_suggestion_not_action
feldinput|inner_effect_stable|dio_mcm_episode_1hdpu9s;feldinput;inner_effect_stable;dio_mcm_episode_1hdpu9s;contact_loaded_intake;80;1;0.460105;0.175874;0.499035;0.202245;0.123881;0.282398;0.232341;0.181507;0.355203;0.079658;contact_relief_pull;aufnahme_entlasten;passive_suggestion_not_action
feldinput|inner_effect_carried_unrest|dio_mcm_episode_1hdpu9s;feldinput;inner_effect_carried_unrest;dio_mcm_episode_1hdpu9s;contact_loaded_intake;33;1;0.324068;0.232768;0.425132;0.309895;0.085264;0.390277;0.313911;0.142711;0.428634;0.036982;contact_relief_pull;aufnahme_entlasten;passive_suggestion_not_action
feldinput|inner_effect_stable|dio_mcm_episode_1rxdw4p;feldinput;inner_effect_stable;dio_mcm_episode_1rxdw4p;contact_loaded_intake;20;1;0.427295;0.184144;0.4563;0.22988;0.106187;0.307642;0.249881;0.169161;0.37247;0.066077;contact_relief_pull;aufnahme_entlasten;passive_suggestion_not_action
feldinput|inner_effect_tipping|dio_mcm_episode_0e7qvj1;feldinput;inner_effect_tipping;dio_mcm_episode_0e7qvj1;contact_loaded_intake;12;1;0.174207;0.300538;0.352792;0.422925;0.047341;0.507535;0.404567;0.101061;0.507743;0.0;contact_relief_pull;aufnahme_entlasten;passive_suggestion_not_action
feldinput|inner_effect_stable|dio_mcm_episode_1ahj81f;feldinput;inner_effect_stable;dio_mcm_episode_1ahj81f;contact_loaded_intake;8;1;0.413992;0.191256;0.429713;0.201316;0.099547;0.29613;0.246917;0.163044;0.358538;0.059348;contact_relief_pull;aufnahme_entlasten;passive_suggestion_not_action
feldinput|inner_effect_carried_unrest|dio_mcm_episode_1rxdw4p;feldinput;inner_effect_carried_unrest;dio_mcm_episode_1rxdw4p;contact_loaded_intake;7;1;0.322581;0.233869;0.41174;0.296962;0.0805;0.383467;0.310815;0.140777;0.421796;0.034854;contact_relief_pull;aufnahme_entlasten;passive_suggestion_not_action
feldinput|inner_effect_tipping|dio_mcm_episode_1hdpu9s;feldinput;inner_effect_tipping;dio_mcm_episode_1hdpu9s;contact_loaded_intake;7;1;0.18414;0.296358;0.356811;0.405126;0.049009;0.493915;0.395627;0.103728;0.496909;0.0;contact_relief_pull;aufnahme_entlasten;passive_suggestion_not_action
feldinput|inner_effect_carried_unrest|dio_mcm_episode_0mji3u6;feldinput;inner_effect_carried_unrest;dio_mcm_episode_0mji3u6;contact_loaded_intake;5;1;0.336532;0.231148;0.439627;0.281557;0.085713;0.370879;0.302648;0.147192;0.412643;0.041912;contact_relief_pull;aufnahme_entlasten;passive_suggestion_not_action
