world,role,count,share,avg_rekopplung,avg_carry,avg_strain,avg_sensory,avg_visual_gap,avg_hearing_gap,rekopplung_top_share,carry_top_share,strain_top_share,dominant_effect_class,dominant_awareness,dominant_preview_symbol,dominant_symbol_family
BTC2025_5M_2K,zentrum_stabil,1636,0.8204613841524574,0.7021666381418092,0.5211935916870416,0.14897960024449877,0.8581599822738386,0.14795515342298288,0.07598253300733496,0.3050122249388753,0.30440097799511,0.12897310513447433,stabil,inner_effect_stable,dio_mcm_episode_0e7qvj1,dio_104t
BTC2025_5M_2K,offene_variante,331,0.16599799398194584,0.6524710634441088,0.45737877341389727,0.20218950453172208,0.7796972870090634,0.3158362839879154,0.12433479456193354,0.0,0.0030211480362537764,0.7885196374622356,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_0e7qvj1,dio_00ja
BTC2025_5M_2K,spannungsrand_kippnaehe,27,0.01354062186559679,0.5704659259259259,0.34432922222222223,0.31273166666666663,0.7024971481481481,0.28044155555555556,0.3230457407407407,0.0,0.0,1.0,kippend,inner_effect_tipping,dio_mcm_episode_0e7qvj1,dio_1x3j
BTC2025_1H_2K,zentrum_stabil,1656,0.8304914744232698,0.7068866274154589,0.5280968115942029,0.1460380332125604,0.8619041980676327,0.15121703985507245,0.06853423973429952,0.30132850241545894,0.3007246376811594,0.12379227053140096,stabil,inner_effect_stable,dio_mcm_episode_0e7qvj1,dio_104t
BTC2025_1H_2K,offene_variante,304,0.15245737211634905,0.650462115131579,0.4531774078947368,0.20430411842105264,0.7797032828947369,0.3141945953947369,0.12915420065789474,0.0,0.003289473684210526,0.8552631578947368,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_0e7qvj1,dio_0jkk
BTC2025_1H_2K,spannungsrand_kippnaehe,34,0.017051153460381142,0.571088205882353,0.34641885294117647,0.30985876470588236,0.6929722647058822,0.3212118529411765,0.31122470588235296,0.0,0.0,1.0,kippend,inner_effect_tipping,dio_mcm_episode_0e7qvj1,dio_1qya
SOL2025_5M_2K,zentrum_stabil,1564,0.7843530591775326,0.7014996726342712,0.520358597826087,0.14879219501278773,0.857326152173913,0.15210638874680307,0.07512229283887467,0.3190537084398977,0.31521739130434784,0.10869565217391304,stabil,inner_effect_stable,dio_mcm_episode_0e7qvj1,dio_104t
SOL2025_5M_2K,offene_variante,408,0.2046138415245737,0.6560111740196078,0.46558041421568624,0.20108554411764706,0.7810705857843138,0.31720234313725487,0.1269906862745098,0.0,0.014705882352941176,0.7524509803921569,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_0e7qvj1,dio_00ja
SOL2025_5M_2K,spannungsrand_kippnaehe,22,0.011033099297893681,0.5731867272727272,0.35073727272727273,0.3077876818181818,0.7015115454545454,0.3109916818181818,0.3136500909090909,0.0,0.0,1.0,kippend,inner_effect_tipping,dio_mcm_episode_0e7qvj1,dio_0l74
SOL2025_1H_2K,zentrum_stabil,1617,0.8109327983951855,0.704674765615337,0.5255028645640074,0.14767868769325912,0.8601542158317873,0.14971157513914657,0.07335708410636982,0.3085961657390229,0.3079777365491651,0.11379097093382808,stabil,inner_effect_stable,dio_mcm_episode_0e7qvj1,dio_104t
SOL2025_1H_2K,offene_variante,341,0.17101303911735205,0.6517915630498533,0.45665168914956006,0.2039628181818182,0.7795250967741936,0.3158401554252199,0.1286947302052786,0.0,0.002932551319648094,0.8181818181818182,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_0e7qvj1,dio_05yg
SOL2025_1H_2K,spannungsrand_kippnaehe,36,0.01805416248746239,0.5711931944444444,0.34771816666666666,0.3133708055555556,0.6939661666666667,0.2954996111111111,0.32968119444444444,0.0,0.0,1.0,kippend,inner_effect_tipping,dio_mcm_episode_0e7qvj1,dio_05cl
