token,world,segment,start_tick,end_tick,duration,before_direction,current_direction,after_direction,current_top_family,current_top_effect,current_top_role,before_loudness,current_loudness,after_loudness,before_visual_blur,current_visual_blur,after_visual_blur,before_rekopplung,current_rekopplung,after_rekopplung,before_strain,current_strain,after_strain,before_tension,current_tension,after_tension,before_sensory,current_sensory,after_sensory
dio_mcm_episode_0v5p8er,DOGE_2025_5M,1,7197,7230,34,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.245509,0.188322,0.212344,0.267449,0.313664,0.314144,0.708873,0.718322,0.714905,0.146608,0.14365,0.146137,0.120032,0.096863,0.107285,0.861387,0.856057,0.853391
dio_mcm_episode_0v5p8er,DOGE_2025_5M,2,7234,7234,1,seitwaerts,seitwaerts,seitwaerts,dio_0p44,stabil,inner_effect_stable,0.146705,0.483575,0.198434,0.306644,0.244031,0.312324,0.723998,0.674496,0.717729,0.143061,0.193644,0.141463,0.076621,0.235402,0.100642,0.856294,0.804736,0.860394
dio_mcm_episode_0v5p8er,DOGE_2025_5M,3,7241,7577,337,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.1991,0.2234,0.224105,0.300868,0.321632,0.463663,0.71583,0.712,0.673765,0.146809,0.149585,0.178904,0.10108,0.111648,0.117411,0.85272,0.848304,0.782971
dio_mcm_episode_0v5p8er,DOGE_2025_5M,4,8755,8755,1,seitwaerts,seitwaerts,seitwaerts,dio_1xkg,stabil,inner_effect_stable,0.247283,0.488525,0.224399,0.339363,0.311922,0.247068,0.712617,0.677383,0.723739,0.154869,0.186053,0.139977,0.123364,0.229687,0.109183,0.843054,0.805439,0.875088
dio_mcm_episode_0v5p8er,DOGE_2025_5M,5,8757,8831,75,seitwaerts,seitwaerts,seitwaerts,dio_0l7p,stabil,inner_effect_stable,0.269581,0.230256,0.192355,0.33731,0.316356,0.338114,0.708982,0.712415,0.716944,0.158595,0.151346,0.147298,0.133039,0.114074,0.098146,0.838654,0.848091,0.846136
dio_mcm_episode_0v5p8er,DOGE_2025_5M,6,8834,8835,2,seitwaerts,seitwaerts,seitwaerts,dio_1492,stabil,inner_effect_stable,0.254916,0.077642,0.213295,0.329412,0.244528,0.36284,0.701773,0.740045,0.71233,0.15979,0.111569,0.15413,0.123206,0.046772,0.107238,0.830959,0.897355,0.83651
dio_mcm_episode_0v5p8er,DOGE_2025_5M,7,9004,9004,1,seitwaerts,seitwaerts,seitwaerts,dio_10dv,stabil,inner_effect_stable,0.165326,0.200938,0.208034,0.28552,0.206631,0.278371,0.727288,0.732095,0.716288,0.137151,0.130358,0.143393,0.085909,0.098657,0.103071,0.868414,0.89876,0.860025
dio_mcm_episode_0v5p8er,DOGE_2025_5M,8,9008,9050,43,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.13832,0.217953,0.163112,0.252733,0.299862,0.337786,0.730797,0.715444,0.724337,0.130248,0.149332,0.139882,0.071372,0.108496,0.08605,0.877871,0.851071,0.859634
dio_mcm_episode_0v5p8er,DOGE_2025_5M,9,9053,9114,62,seitwaerts,seitwaerts,seitwaerts,dio_0l7p,stabil,inner_effect_stable,0.232368,0.183451,0.262292,0.323118,0.311842,0.35218,0.710796,0.720519,0.706169,0.153611,0.142813,0.157575,0.115068,0.094118,0.127035,0.843384,0.857017,0.835526
dio_mcm_episode_0v5p8er,DOGE_2025_5M,10,9118,9123,6,seitwaerts,seitwaerts,seitwaerts,dio_1tiu,stabil,inner_effect_stable,0.227173,0.284433,0.223962,0.332839,0.356762,0.374101,0.708102,0.706431,0.707376,0.15488,0.159209,0.157065,0.113976,0.136937,0.114484,0.838434,0.834935,0.832492
dio_mcm_episode_0v5p8er,SYNTH_BRUCH_RAND,1,4915,4923,9,seitwaerts,seitwaerts,seitwaerts,dio_13o0,stabil,inner_effect_stable,0.105005,0.040174,0.062686,0.211969,0.167009,0.186338,0.737105,0.74996,0.748375,0.128416,0.113006,0.122374,0.057866,0.027762,0.037696,0.893088,0.912154,0.904907
dio_mcm_episode_0v5p8er,SYNTH_RAND,1,1450,1575,126,seitwaerts,seitwaerts,seitwaerts,dio_1v2w,tragend_unruhig,inner_effect_carried_unrest,0.261697,0.271429,0.207927,0.473518,0.46484,0.514886,0.681432,0.680051,0.677888,0.17042,0.173163,0.169249,0.12802,0.133078,0.110512,0.802217,0.803202,0.804594
dio_mcm_episode_0v5p8er,XRP_2025_5M,1,7142,7585,444,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.204648,0.226788,0.194723,0.308034,0.31257,0.383892,0.718813,0.711507,0.686549,0.145556,0.150561,0.158319,0.104671,0.113371,0.104701,0.856592,0.849834,0.823896
dio_mcm_episode_0v5p8er,XRP_2025_5M,2,8523,8525,3,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.197903,0.116751,0.258958,0.307821,0.329954,0.326931,0.722267,0.729267,0.708139,0.142308,0.141417,0.155731,0.098871,0.065672,0.12787,0.861004,0.855729,0.841924
dio_mcm_episode_0v5p8er,XRP_2025_5M,3,8527,8531,5,seitwaerts,seitwaerts,seitwaerts,dio_0jqc,stabil,inner_effect_stable,0.148311,0.264862,0.190134,0.314581,0.316956,0.335217,0.728428,0.712973,0.716704,0.136812,0.15098,0.147683,0.078568,0.129914,0.097771,0.866116,0.854417,0.848541
dio_mcm_episode_0v5p8er,XRP_2025_5M,4,8544,9407,864,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.190134,0.209881,0.245479,0.335217,0.318978,0.348674,0.716704,0.71581,0.700766,0.147683,0.148437,0.162896,0.097771,0.105956,0.12074,0.848541,0.850477,0.819421
dio_mcm_episode_14l8khu,DOGE_2025_5M,1,7166,7196,31,seitwaerts,seitwaerts,seitwaerts,dio_14wj,stabil,inner_effect_stable,0.177543,0.193714,0.22283,0.32413,0.294601,0.272711,0.723168,0.716966,0.714408,0.143107,0.14249,0.139701,0.090171,0.09813,0.111423,0.858073,0.86112,0.86465
dio_mcm_episode_14l8khu,DOGE_2025_5M,2,7231,7233,3,seitwaerts,seitwaerts,seitwaerts,dio_0l7p,stabil,inner_effect_stable,0.182521,0.127954,0.232009,0.321014,0.291073,0.3015,0.718618,0.730094,0.713484,0.14867,0.137693,0.145486,0.093376,0.06596,0.116092,0.84828,0.86694,0.85717
dio_mcm_episode_14l8khu,DOGE_2025_5M,3,7235,7240,6,seitwaerts,seitwaerts,seitwaerts,dio_1uof,stabil,inner_effect_stable,0.1713,0.160143,0.250019,0.29647,0.317191,0.311026,0.720086,0.719789,0.713836,0.146641,0.137996,0.148323,0.088608,0.084015,0.124218,0.852913,0.858839,0.857972
dio_mcm_episode_14l8khu,DOGE_2025_5M,4,8445,8447,3,seitwaerts,seitwaerts,seitwaerts,dio_10dv,stabil,inner_effect_stable,0.158924,0.24091,0.23554,0.302883,0.307599,0.356268,0.725788,0.718086,0.713774,0.137131,0.146533,0.155011,0.083341,0.118401,0.118156,0.865213,0.860136,0.842758
dio_mcm_episode_14l8khu,DOGE_2025_5M,5,8463,8754,292,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.198922,0.213557,0.250015,0.341512,0.321024,0.248626,0.719485,0.716309,0.719358,0.148316,0.148267,0.144651,0.102476,0.107956,0.121033,0.851639,0.852152,0.868513
dio_mcm_episode_14l8khu,DOGE_2025_5M,6,8756,8756,1,seitwaerts,seitwaerts,seitwaerts,dio_0z9t,stabil,inner_effect_stable,0.282278,0.193634,0.220474,0.347165,0.248248,0.247293,0.707765,0.72009,0.724849,0.160382,0.14648,0.138329,0.139204,0.093814,0.107377,0.836431,0.860356,0.876654
dio_mcm_episode_14l8khu,DOGE_2025_5M,7,8832,8833,2,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.265541,0.103728,0.211421,0.352329,0.310474,0.352526,0.698326,0.728749,0.713458,0.16302,0.134971,0.151277,0.128626,0.060442,0.106516,0.824617,0.858611,0.841194
dio_mcm_episode_14l8khu,DOGE_2025_5M,8,8836,9003,168,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.24901,0.202568,0.215282,0.324971,0.318102,0.279572,0.703014,0.716825,0.715599,0.156141,0.146576,0.143959,0.120907,0.102631,0.106397,0.835095,0.85234,0.860157
dio_mcm_episode_14l8khu,DOGE_2025_5M,9,9005,9007,3,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.167814,0.082041,0.212227,0.277015,0.26594,0.270586,0.727563,0.734812,0.716347,0.136655,0.126098,0.141307,0.086991,0.044899,0.104795,0.870399,0.878915,0.863317
dio_mcm_episode_14l8khu,DOGE_2025_5M,10,9051,9052,2,seitwaerts,seitwaerts,seitwaerts,dio_0l7p,stabil,inner_effect_stable,0.227716,0.124034,0.165462,0.317919,0.363582,0.324069,0.711631,0.726564,0.723876,0.153032,0.138282,0.138867,0.113135,0.067497,0.087003,0.842972,0.85967,0.86067
dio_mcm_episode_14l8khu,DOGE_2025_5M,11,9115,9117,3,seitwaerts,seitwaerts,seitwaerts,dio_0ioc,stabil,inner_effect_stable,0.220133,0.258442,0.244139,0.347771,0.287297,0.375398,0.709617,0.706248,0.706731,0.153796,0.158582,0.156503,0.112734,0.123226,0.121208,0.838665,0.838036,0.832368
dio_mcm_episode_14l8khu,DOGE_2025_5M,12,9124,9266,143,seitwaerts,seitwaerts,seitwaerts,dio_0h9h,stabil,inner_effect_stable,0.2432,0.214691,0.23563,0.35132,0.337996,0.451149,0.708241,0.708746,0.702332,0.15665,0.152553,0.157305,0.120246,0.108529,0.121241,0.835002,0.840179,0.825617
dio_mcm_episode_14l8khu,DOGE_2025_5M,13,9268,9268,1,seitwaerts,seitwaerts,seitwaerts,dio_177f,stabil,inner_effect_stable,0.223447,0.291451,0.205293,0.393839,0.310448,0.451874,0.695566,0.697688,0.708278,0.157599,0.142435,0.151045,0.116883,0.141291,0.108676,0.831303,0.872818,0.831605
dio_mcm_episode_14l8khu,DOGE_2025_5M,14,9292,9296,5,seitwaerts,seitwaerts,seitwaerts,dio_07uk,stabil,inner_effect_stable,0.134148,0.154737,0.242691,0.3302,0.294859,0.328846,0.723907,0.7278,0.699478,0.132392,0.136183,0.160864,0.075025,0.080585,0.120782,0.864839,0.871223,0.828673
dio_mcm_episode_14l8khu,DOGE_2025_5M,15,9298,9298,1,seitwaerts,seitwaerts,seitwaerts,dio_0d46,stabil,inner_effect_stable,0.192496,0.340108,0.196818,0.280509,0.288927,0.343913,0.72239,0.707822,0.706324,0.14034,0.152586,0.154178,0.097281,0.16011,0.101873,0.86656,0.863818,0.835335
