token,path_class,reason,movement,base_zone,follow_zone,base_observations,follow_observations,observation_delta,base_worlds,follow_worlds,world_delta,base_role,follow_role,rekopplung_delta,strain_delta,loudness_delta,visual_blur_delta
dio_mcm_episode_0ybr5e3,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,1537,3868,2331,1,1,0,zentrum_stabil,zentrum_stabil,0.000508,0.000654,0.003195,0.017089
dio_mcm_episode_0ko7wqc,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,1789,97,-1692,2,1,-1,zentrum_stabil,zentrum_stabil,-0.01856,0.00261,-0.004016,-0.003362
dio_mcm_episode_0dgle71,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,115,1336,1221,1,1,0,zentrum_stabil,zentrum_stabil,0.009633,-0.00637,-0.003695,-0.02657
dio_mcm_episode_1t42af6,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,437,41,-396,2,2,0,zentrum_stabil,zentrum_stabil,-0.024169,0.01535,0.062938,-0.008349
dio_mcm_episode_0w4x7xs,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,48,403,355,1,1,0,zentrum_stabil,zentrum_stabil,-0.00406,0.004073,0.016353,0.016773
dio_mcm_episode_1ahj81f,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,565,850,285,4,5,1,zentrum_stabil,zentrum_stabil,0.001295,-0.001338,-0.01225,0.009951
dio_mcm_episode_1eju9g0,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,327,90,-237,1,1,0,zentrum_stabil,zentrum_stabil,0.005841,0.006317,0.051225,-0.010835
dio_mcm_episode_1jwnjz4,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,471,514,43,2,2,0,zentrum_stabil,zentrum_stabil,0.007976,-0.002824,0.006043,-0.017192
dio_mcm_episode_17c7qwp,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,32,50,18,1,1,0,zentrum_stabil,zentrum_stabil,0.005145,0.004661,0.030746,0.054328
dio_mcm_episode_17rahh6,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,8,18,10,1,1,0,zentrum_stabil,zentrum_stabil,0.009612,0.001012,0.035615,-0.035223
