landscape,source,target,short_source,short_target,relation,relation_group,edge_kind,count,worlds,duration_avg,exit_rekopplung_delta_avg,exit_strain_delta_avg,exit_phase
894_basis,dio_mcm_episode_00nzcuc,dio_mcm_episode_0b7nep9,00nzcuc,0b7nep9,eintritt,aussen_zu_token,aussen_zu_bruecke,8,2,232.25,-0.018757,0.015556,oeffnend_belastender_austritt
894_basis,dio_mcm_episode_0b7nep9,dio_mcm_episode_00nzcuc,0b7nep9,00nzcuc,austritt,token_zu_aussen,bruecke_zu_aussen,6,2,3.166667,-0.002783,-0.00111,gemischter_austritt
894_basis,dio_mcm_episode_0b7nep9,dio_mcm_episode_0w4x7xs,0b7nep9,0w4x7xs,austritt,token_zu_aussen,bruecke_zu_aussen,5,1,114.4,0.00628,-0.005428,rekoppelnder_austritt
894_basis,dio_mcm_episode_0w4x7xs,dio_mcm_episode_0b7nep9,0w4x7xs,0b7nep9,eintritt,aussen_zu_token,aussen_zu_bruecke,4,1,134.5,-0.179455,-0.034284,gemischter_austritt
894_basis,dio_mcm_episode_0ykar6i,dio_mcm_episode_0b7nep9,0ykar6i,0b7nep9,eintritt,direktes_paar,aussen_zu_bruecke,2,2,1036.0,-0.172091,0.184253,oeffnend_belastender_austritt
894_basis,dio_mcm_episode_1f4jh6c,dio_mcm_episode_0b7nep9,1f4jh6c,0b7nep9,eintritt,aussen_zu_token,aussen_zu_bruecke,2,1,14.5,0.012252,-0.012709,rekoppelnder_austritt
894_basis,dio_mcm_episode_0b7nep9,dio_mcm_episode_0fljihc,0b7nep9,0fljihc,austritt,token_zu_aussen,bruecke_zu_aussen,1,1,931.0,-0.177129,0.186092,oeffnend_belastender_austritt
894_basis,dio_mcm_episode_0b7nep9,dio_mcm_episode_0mm85pw,0b7nep9,0mm85pw,austritt,token_zu_aussen,bruecke_zu_aussen,1,1,1284.0,-0.134429,0.141143,oeffnend_belastender_austritt
894_basis,dio_mcm_episode_0b7nep9,dio_mcm_episode_0mw7rev,0b7nep9,0mw7rev,austritt,token_zu_aussen,bruecke_zu_aussen,1,1,1141.0,-0.167054,0.182414,oeffnend_belastender_austritt
894_basis,dio_mcm_episode_0b7nep9,dio_mcm_episode_0rz7ra9,0b7nep9,0rz7ra9,austritt,token_zu_aussen,bruecke_zu_aussen,1,1,2034.0,0.030813,0.00773,gemischter_austritt
894_basis,dio_mcm_episode_0b7nep9,dio_mcm_episode_0tosxof,0b7nep9,0tosxof,austritt,token_zu_aussen,bruecke_zu_aussen,1,1,1972.0,0.008901,-0.028097,rekoppelnder_austritt
894_basis,dio_mcm_episode_0b7nep9,dio_mcm_episode_0ykar6i,0b7nep9,0ykar6i,austritt,direktes_paar,bruecke_zu_aussen,1,1,27.0,0.015733,-0.026082,rekoppelnder_austritt
894_basis,dio_mcm_episode_17c7qwp,dio_mcm_episode_0b7nep9,17c7qwp,0b7nep9,eintritt,aussen_zu_token,aussen_zu_bruecke,1,1,1972.0,0.008901,-0.028097,rekoppelnder_austritt
894_basis,dio_mcm_episode_1fej2vb,dio_mcm_episode_0b7nep9,1fej2vb,0b7nep9,eintritt,aussen_zu_token,aussen_zu_bruecke,1,1,2034.0,0.030813,0.00773,gemischter_austritt
