token,short_token,L894_class,L894_weight,L894_duration,L894_world_span,L901_class,L901_weight,L901_duration,L901_world_span,L911_class,L911_weight,L911_duration,L911_world_span,class_sequence,weight_sequence,duration_sequence,world_span_sequence,trend,max_rank,weight_delta_total
dio_mcm_episode_0b7nep9,0b7nep9,starker_anschlussanker,35,470.942857,2,brueckenkern,228,85.149123,4,brueckenkern,141,107.063830,4,starker_anschlussanker -> brueckenkern -> brueckenkern,35 -> 228 -> 141,470.94 -> 85.15 -> 107.06,2 -> 4 -> 4,aufsteigende_verdichtung,4,106
dio_mcm_episode_0hjnwsk,0hjnwsk,schwacher_anschluss,6,2.166667,3,schwacher_anschluss,10,2.600000,4,brueckenkern,26,2.615385,4,schwacher_anschluss -> schwacher_anschluss -> brueckenkern,6 -> 10 -> 26,2.17 -> 2.60 -> 2.62,3 -> 4 -> 4,aufsteigende_verdichtung,4,20
dio_mcm_episode_0l3i7ey,0l3i7ey,schwacher_anschluss,1,2.000000,1,schwacher_anschluss,1,3.000000,1,brueckenkern,11,1.545454,3,schwacher_anschluss -> schwacher_anschluss -> brueckenkern,1 -> 1 -> 11,2.00 -> 3.00 -> 1.55,1 -> 1 -> 3,aufsteigende_verdichtung,4,10
dio_mcm_episode_17c7qwp,17c7qwp,schwacher_anschluss,1,1972.000000,1,schwacher_anschluss,1,375.000000,1,brueckenkern,9,48.777778,1,schwacher_anschluss -> schwacher_anschluss -> brueckenkern,1 -> 1 -> 9,1972.00 -> 375.00 -> 48.78,1 -> 1 -> 1,aufsteigende_verdichtung,4,8
dio_mcm_episode_0db07p4,0db07p4,brueckenkern,47,56.425532,5,brueckenkern,23,56.956522,3,brueckenkern,23,56.956522,3,brueckenkern -> brueckenkern -> brueckenkern,47 -> 23 -> 23,56.43 -> 56.96 -> 56.96,5 -> 3 -> 3,kernnah_gehalten,4,-24
dio_mcm_episode_0e7qvj1,0e7qvj1,brueckenkern,165,174.206061,5,brueckenkern,276,123.326087,6,brueckenkern,268,126.932836,6,brueckenkern -> brueckenkern -> brueckenkern,165 -> 276 -> 268,174.21 -> 123.33 -> 126.93,5 -> 6 -> 6,kernnah_gehalten,4,103
dio_mcm_episode_0jbl5pq,0jbl5pq,brueckenkern,27,2.259259,5,brueckenkern,31,2.548387,6,brueckenkern,32,2.500000,6,brueckenkern -> brueckenkern -> brueckenkern,27 -> 31 -> 32,2.26 -> 2.55 -> 2.50,5 -> 6 -> 6,kernnah_gehalten,4,5
dio_mcm_episode_0mji3u6,0mji3u6,brueckenkern,43,180.372093,5,brueckenkern,97,94.061856,6,brueckenkern,97,94.061856,6,brueckenkern -> brueckenkern -> brueckenkern,43 -> 97 -> 97,180.37 -> 94.06 -> 94.06,5 -> 6 -> 6,kernnah_gehalten,4,54
dio_mcm_episode_0qzjuvj,0qzjuvj,brueckenkern,28,2.571429,5,brueckenkern,33,2.666667,6,brueckenkern,29,2.551724,6,brueckenkern -> brueckenkern -> brueckenkern,28 -> 33 -> 29,2.57 -> 2.67 -> 2.55,5 -> 6 -> 6,kernnah_gehalten,4,1
dio_mcm_episode_0ykar6i,0ykar6i,schwacher_anschluss,3,699.666667,2,brueckenkern,215,71.018605,4,starker_anschlussanker,88,98.954546,4,schwacher_anschluss -> brueckenkern -> starker_anschlussanker,3 -> 215 -> 88,699.67 -> 71.02 -> 98.95,2 -> 4 -> 4,kernnah_gehalten,4,85
dio_mcm_episode_18l3thm,18l3thm,brueckenkern,110,77.900000,5,brueckenkern,171,55.426901,6,brueckenkern,159,47.685535,6,brueckenkern -> brueckenkern -> brueckenkern,110 -> 171 -> 159,77.90 -> 55.43 -> 47.69,5 -> 6 -> 6,kernnah_gehalten,4,49
dio_mcm_episode_18n06fj,18n06fj,brueckenkern,17,4.058824,3,brueckenkern,30,5.366667,5,brueckenkern,38,4.789474,5,brueckenkern -> brueckenkern -> brueckenkern,17 -> 30 -> 38,4.06 -> 5.37 -> 4.79,3 -> 5 -> 5,kernnah_gehalten,4,21
dio_mcm_episode_1joiyc3,1joiyc3,brueckenkern,74,138.824324,5,brueckenkern,101,146.900990,6,brueckenkern,66,211.060606,6,brueckenkern -> brueckenkern -> brueckenkern,74 -> 101 -> 66,138.82 -> 146.90 -> 211.06,5 -> 6 -> 6,kernnah_gehalten,4,-8
dio_mcm_episode_1jx2k4i,1jx2k4i,starker_anschlussanker,33,133.181818,5,brueckenkern,115,66.347826,6,starker_anschlussanker,35,159.657143,6,starker_anschlussanker -> brueckenkern -> starker_anschlussanker,33 -> 115 -> 35,133.18 -> 66.35 -> 159.66,5 -> 6 -> 6,kernnah_gehalten,4,2
dio_mcm_episode_1xx3u1e,1xx3u1e,lokaler_anschlussanker,12,15.000000,2,brueckenkern,49,125.081633,3,starker_anschlussanker,46,133.043478,3,lokaler_anschlussanker -> brueckenkern -> starker_anschlussanker,12 -> 49 -> 46,15.00 -> 125.08 -> 133.04,2 -> 3 -> 3,kernnah_gehalten,4,34
dio_mcm_episode_02ujuqf,02ujuqf,-,0,0.000000,0,brueckenkern,9,139.444444,3,schwacher_anschluss,3,412.333333,3,- -> brueckenkern -> schwacher_anschluss,0 -> 9 -> 3,0.00 -> 139.44 -> 412.33,0 -> 3 -> 3,rollendrift,4,3
dio_mcm_episode_0z748ck,0z748ck,lokaler_anschlussanker,22,59.454546,5,brueckenkern,26,9.153846,5,lokaler_anschlussanker,12,16.500000,5,lokaler_anschlussanker -> brueckenkern -> lokaler_anschlussanker,22 -> 26 -> 12,59.45 -> 9.15 -> 16.50,5 -> 5 -> 5,rollendrift,4,-10
dio_mcm_episode_14coypf,14coypf,-,0,0.000000,0,brueckenkern,57,100.070175,3,lokaler_anschlussanker,14,32.142857,3,- -> brueckenkern -> lokaler_anschlussanker,0 -> 57 -> 14,0.00 -> 100.07 -> 32.14,0 -> 3 -> 3,rollendrift,4,14
dio_mcm_episode_0v5p8er,0v5p8er,-,0,0.000000,0,schwacher_anschluss,2,596.500000,1,starker_anschlussanker,32,125.812500,3,- -> schwacher_anschluss -> starker_anschlussanker,0 -> 2 -> 32,0.00 -> 596.50 -> 125.81,0 -> 1 -> 3,aufsteigende_verdichtung,3,32
dio_mcm_episode_1jwnjz4,1jwnjz4,schwacher_anschluss,13,20.230769,1,starker_anschlussanker,59,94.762712,4,starker_anschlussanker,50,92.080000,4,schwacher_anschluss -> starker_anschlussanker -> starker_anschlussanker,13 -> 59 -> 50,20.23 -> 94.76 -> 92.08,1 -> 4 -> 4,aufsteigende_verdichtung,3,37
dio_mcm_episode_1q3us3f,1q3us3f,lokaler_anschlussanker,26,57.269231,3,starker_anschlussanker,39,59.589744,5,starker_anschlussanker,43,68.302326,5,lokaler_anschlussanker -> starker_anschlussanker -> starker_anschlussanker,26 -> 39 -> 43,57.27 -> 59.59 -> 68.30,3 -> 5 -> 5,aufsteigende_verdichtung,3,17
dio_mcm_episode_0ybr5e3,0ybr5e3,-,0,0.000000,0,starker_anschlussanker,41,112.365854,1,schwacher_anschluss,23,149.826087,1,- -> starker_anschlussanker -> schwacher_anschluss,0 -> 41 -> 23,0.00 -> 112.37 -> 149.83,0 -> 1 -> 1,rollendrift,3,23
dio_mcm_episode_1ahj81f,1ahj81f,schwacher_anschluss,1,32.000000,1,starker_anschlussanker,30,15.066667,5,schwacher_anschluss,3,11.333333,2,schwacher_anschluss -> starker_anschlussanker -> schwacher_anschluss,1 -> 30 -> 3,32.00 -> 15.07 -> 11.33,1 -> 5 -> 2,rollendrift,3,2
dio_mcm_episode_00nzcuc,00nzcuc,lokaler_anschlussanker,14,134.071429,2,schwacher_anschluss,1,353.000000,1,schwacher_anschluss,1,353.000000,1,lokaler_anschlussanker -> schwacher_anschluss -> schwacher_anschluss,14 -> 1 -> 1,134.07 -> 353.00 -> 353.00,2 -> 1 -> 1,absteigende_entlastung,2,-13
dio_mcm_episode_1hdpu9s,1hdpu9s,lokaler_anschlussanker,12,20.416667,2,schwacher_anschluss,11,18.727273,3,schwacher_anschluss,11,18.727273,3,lokaler_anschlussanker -> schwacher_anschluss -> schwacher_anschluss,12 -> 11 -> 11,20.42 -> 18.73 -> 18.73,2 -> 3 -> 3,absteigende_entlastung,2,-1
dio_mcm_episode_077r0df,077r0df,schwacher_anschluss,1,3.000000,1,lokaler_anschlussanker,16,10.000000,3,lokaler_anschlussanker,16,10.000000,3,schwacher_anschluss -> lokaler_anschlussanker -> lokaler_anschlussanker,1 -> 16 -> 16,3.00 -> 10.00 -> 10.00,1 -> 3 -> 3,aufsteigende_verdichtung,2,15
dio_mcm_episode_0om13wf,0om13wf,-,0,0.000000,0,-,0,0.000000,0,lokaler_anschlussanker,12,1.333333,2,- -> - -> lokaler_anschlussanker,0 -> 0 -> 12,0.00 -> 0.00 -> 1.33,0 -> 0 -> 2,aufsteigende_verdichtung,2,12
dio_mcm_episode_0w4x7xs,0w4x7xs,schwacher_anschluss,9,123.333333,1,lokaler_anschlussanker,18,50.500000,2,lokaler_anschlussanker,18,50.500000,2,schwacher_anschluss -> lokaler_anschlussanker -> lokaler_anschlussanker,9 -> 18 -> 18,123.33 -> 50.50 -> 50.50,1 -> 2 -> 2,aufsteigende_verdichtung,2,9
