passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,role_symbol,short_token,class_sequence,weight_sequence,world_span_sequence,trend,role_movement_quality,stability_quality,drift_quality,max_rank,weight_delta_total,memory_note
1,0,0,0,0,0,0,dio_role_19qvilb,02ujuqf,- -> brueckenkern,0 -> 9,0 -> 3,aufsteigende_verdichtung,role_condensing,core_near_retained,core_boundary_movement,4,9,role gains density across landscapes
1,0,0,0,0,0,0,dio_role_0xuioc1,0b7nep9,starker_anschlussanker -> brueckenkern,35 -> 228,2 -> 4,aufsteigende_verdichtung,role_condensing,core_near_retained,core_boundary_movement,4,193,role gains density across landscapes
1,0,0,0,0,0,0,dio_role_1dhtnye,0ykar6i,schwacher_anschluss -> brueckenkern,3 -> 215,2 -> 4,aufsteigende_verdichtung,role_condensing,core_near_retained,core_boundary_movement,4,212,role gains density across landscapes
1,0,0,0,0,0,0,dio_role_006s4ho,0z748ck,lokaler_anschlussanker -> brueckenkern,22 -> 26,5 -> 5,aufsteigende_verdichtung,role_condensing,core_near_retained,core_boundary_movement,4,4,role gains density across landscapes
1,0,0,0,0,0,0,dio_role_0ivr2vw,14coypf,- -> brueckenkern,0 -> 57,0 -> 3,aufsteigende_verdichtung,role_condensing,core_near_retained,core_boundary_movement,4,57,role gains density across landscapes
1,0,0,0,0,0,0,dio_role_0qnck5t,1jx2k4i,starker_anschlussanker -> brueckenkern,33 -> 115,5 -> 6,aufsteigende_verdichtung,role_condensing,core_near_retained,core_boundary_movement,4,82,role gains density across landscapes
1,0,0,0,0,0,0,dio_role_143lfe3,1xx3u1e,lokaler_anschlussanker -> brueckenkern,12 -> 49,2 -> 3,aufsteigende_verdichtung,role_condensing,core_near_retained,core_boundary_movement,4,37,role gains density across landscapes
1,0,0,0,0,0,0,dio_role_04lwhlp,0db07p4,brueckenkern -> brueckenkern,47 -> 23,5 -> 3,kernnah_gehalten,role_core_near_retained,stable_core,low_drift,4,-24,role stays near core while surface class may move
1,0,0,0,0,0,0,dio_role_0c7nggw,0e7qvj1,brueckenkern -> brueckenkern,165 -> 276,5 -> 6,kernnah_gehalten,role_core_near_retained,stable_core,low_drift,4,111,role stays near core while surface class may move
1,0,0,0,0,0,0,dio_role_117fbbv,0jbl5pq,brueckenkern -> brueckenkern,27 -> 31,5 -> 6,kernnah_gehalten,role_core_near_retained,stable_core,low_drift,4,4,role stays near core while surface class may move
1,0,0,0,0,0,0,dio_role_1hxibov,0mji3u6,brueckenkern -> brueckenkern,43 -> 97,5 -> 6,kernnah_gehalten,role_core_near_retained,stable_core,low_drift,4,54,role stays near core while surface class may move
1,0,0,0,0,0,0,dio_role_0k5tt9o,0qzjuvj,brueckenkern -> brueckenkern,28 -> 33,5 -> 6,kernnah_gehalten,role_core_near_retained,stable_core,low_drift,4,5,role stays near core while surface class may move
1,0,0,0,0,0,0,dio_role_15x5igq,18l3thm,brueckenkern -> brueckenkern,110 -> 171,5 -> 6,kernnah_gehalten,role_core_near_retained,stable_core,low_drift,4,61,role stays near core while surface class may move
1,0,0,0,0,0,0,dio_role_0bx4b71,18n06fj,brueckenkern -> brueckenkern,17 -> 30,3 -> 5,kernnah_gehalten,role_core_near_retained,stable_core,low_drift,4,13,role stays near core while surface class may move
1,0,0,0,0,0,0,dio_role_04fwtzx,1joiyc3,brueckenkern -> brueckenkern,74 -> 101,5 -> 6,kernnah_gehalten,role_core_near_retained,stable_core,low_drift,4,27,role stays near core while surface class may move
1,0,0,0,0,0,0,dio_role_0krdv3d,0ybr5e3,- -> starker_anschlussanker,0 -> 41,0 -> 1,aufsteigende_verdichtung,role_condensing,gaining_weight,surface_role_movement,3,41,role gains density across landscapes
1,0,0,0,0,0,0,dio_role_185g3ba,1ahj81f,schwacher_anschluss -> starker_anschlussanker,1 -> 30,1 -> 5,aufsteigende_verdichtung,role_condensing,gaining_weight,surface_role_movement,3,29,role gains density across landscapes
1,0,0,0,0,0,0,dio_role_152ljbs,1jwnjz4,schwacher_anschluss -> starker_anschlussanker,13 -> 59,1 -> 4,aufsteigende_verdichtung,role_condensing,gaining_weight,surface_role_movement,3,46,role gains density across landscapes
1,0,0,0,0,0,0,dio_role_0kj7nsa,1q3us3f,lokaler_anschlussanker -> starker_anschlussanker,26 -> 39,3 -> 5,aufsteigende_verdichtung,role_condensing,gaining_weight,surface_role_movement,3,13,role gains density across landscapes
1,0,0,0,0,0,0,dio_role_0okxhms,00nzcuc,lokaler_anschlussanker -> schwacher_anschluss,14 -> 1,2 -> 1,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,2,-13,role releases or fades across landscapes
1,0,0,0,0,0,0,dio_role_1yxuqsx,1hdpu9s,lokaler_anschlussanker -> schwacher_anschluss,12 -> 11,2 -> 3,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,2,-1,role releases or fades across landscapes
1,0,0,0,0,0,0,dio_role_0ivla1n,077r0df,schwacher_anschluss -> lokaler_anschlussanker,1 -> 16,1 -> 3,aufsteigende_verdichtung,role_condensing,gaining_weight,surface_role_movement,2,15,role gains density across landscapes
1,0,0,0,0,0,0,dio_role_063jbt5,0geqqo3,schwacher_anschluss -> lokaler_anschlussanker,11 -> 22,2 -> 2,aufsteigende_verdichtung,role_condensing,gaining_weight,surface_role_movement,2,11,role gains density across landscapes
1,0,0,0,0,0,0,dio_role_0yamhec,0w4x7xs,schwacher_anschluss -> lokaler_anschlussanker,9 -> 18,1 -> 2,aufsteigende_verdichtung,role_condensing,gaining_weight,surface_role_movement,2,9,role gains density across landscapes
1,0,0,0,0,0,0,dio_role_1rkdnd8,0wjn8vm,- -> lokaler_anschlussanker,0 -> 14,0 -> 2,aufsteigende_verdichtung,role_condensing,gaining_weight,surface_role_movement,2,14,role gains density across landscapes
1,0,0,0,0,0,0,dio_role_1lq0sw2,14l8khu,- -> lokaler_anschlussanker,0 -> 13,0 -> 2,aufsteigende_verdichtung,role_condensing,gaining_weight,surface_role_movement,2,13,role gains density across landscapes
1,0,0,0,0,0,0,dio_role_015c6f2,1al8fjz,schwacher_anschluss -> lokaler_anschlussanker,6 -> 14,2 -> 4,aufsteigende_verdichtung,role_condensing,gaining_weight,surface_role_movement,2,8,role gains density across landscapes
1,0,0,0,0,0,0,dio_role_0bv1cvs,04s5k7g,schwacher_anschluss -> -,2 -> 0,1 -> 0,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,1,-2,role releases or fades across landscapes
1,0,0,0,0,0,0,dio_role_12ugu7t,0h9ka55,schwacher_anschluss -> -,1 -> 0,1 -> 0,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,1,-1,role releases or fades across landscapes
1,0,0,0,0,0,0,dio_role_0qqvr04,0jatqr8,schwacher_anschluss -> -,1 -> 0,1 -> 0,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,1,-1,role releases or fades across landscapes
1,0,0,0,0,0,0,dio_role_00hd21z,0jdgxa5,schwacher_anschluss -> -,1 -> 0,1 -> 0,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,1,-1,role releases or fades across landscapes
1,0,0,0,0,0,0,dio_role_0uzak4o,0ldenly,schwacher_anschluss -> -,1 -> 0,1 -> 0,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,1,-1,role releases or fades across landscapes
1,0,0,0,0,0,0,dio_role_1yyg34r,0mqw5s3,schwacher_anschluss -> -,2 -> 0,1 -> 0,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,1,-2,role releases or fades across landscapes
1,0,0,0,0,0,0,dio_role_03zt1hm,0n22aiv,schwacher_anschluss -> -,1 -> 0,1 -> 0,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,1,-1,role releases or fades across landscapes
1,0,0,0,0,0,0,dio_role_063m107,0rz7ra9,schwacher_anschluss -> -,1 -> 0,1 -> 0,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,1,-1,role releases or fades across landscapes
1,0,0,0,0,0,0,dio_role_0b8pqk9,0sxikqi,schwacher_anschluss -> -,1 -> 0,1 -> 0,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,1,-1,role releases or fades across landscapes
1,0,0,0,0,0,0,dio_role_0u4dcfv,0tosxof,schwacher_anschluss -> -,1 -> 0,1 -> 0,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,1,-1,role releases or fades across landscapes
1,0,0,0,0,0,0,dio_role_1v1zos6,0vszw6h,schwacher_anschluss -> -,1 -> 0,1 -> 0,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,1,-1,role releases or fades across landscapes
1,0,0,0,0,0,0,dio_role_0c1jyja,1ej5zl7,schwacher_anschluss -> -,1 -> 0,1 -> 0,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,1,-1,role releases or fades across landscapes
1,0,0,0,0,0,0,dio_role_0j5ndt2,1fej2vb,schwacher_anschluss -> -,1 -> 0,1 -> 0,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,1,-1,role releases or fades across landscapes
1,0,0,0,0,0,0,dio_role_0s48gll,1ggl8cd,schwacher_anschluss -> -,2 -> 0,2 -> 0,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,1,-2,role releases or fades across landscapes
1,0,0,0,0,0,0,dio_role_10lnimb,1nw8bq9,schwacher_anschluss -> -,2 -> 0,1 -> 0,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,1,-2,role releases or fades across landscapes
1,0,0,0,0,0,0,dio_role_1529pia,1q3u8v6,schwacher_anschluss -> -,1 -> 0,1 -> 0,absteigende_entlastung,role_releasing,losing_role_weight,role_releasing_or_fading,1,-1,role releases or fades across landscapes
