token,observations,worlds,world_names,dominant_role,dominant_family,role_entropy,neighbor_count,incoming_count,outgoing_count,top_previous,top_next,avg_rekopplung,avg_carry,avg_strain,avg_sensory,avg_tension,avg_coherence,avg_raw_field,avg_adapted_field,avg_loudness,avg_visual_blur,center_share,recoupling_share,open_share,rand_share,condensation_zone
dio_mcm_episode_0x7d4av,21,1,STRESS10K_REPRO,offene_variante,dio_0xfj,1.312744,14,12,12,dio_mcm_episode_0ifxej6,dio_mcm_episode_0wxdilw,0.628918,0.397994,0.234964,0.829804,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.571429,0.095238,driftzone
dio_mcm_episode_0pclaui,15,1,STRESS10K_REPRO,spannungsrand_kippnaehe,dio_1qcc,1.565596,13,10,10,dio_mcm_episode_0p2lp5j,dio_mcm_episode_1b68xzt,0.624284,0.39991,0.264956,0.845718,0.0,0.0,0.0,0.0,0.0,0.0,0.266667,0.0,0.333333,0.4,driftzone
dio_mcm_episode_1b68xzt,12,1,STRESS10K_REPRO,offene_variante,dio_1p6z,1.325011,5,5,5,dio_mcm_episode_0pclaui,dio_mcm_episode_0m0hadc,0.628067,0.385328,0.22263,0.845159,0.0,0.0,0.0,0.0,0.0,0.0,0.416667,0.0,0.5,0.083333,driftzone
dio_mcm_episode_1a3ydyn,8,1,STRESS10K_REPRO,offene_variante,dio_0nu8,0.954434,15,8,8,dio_mcm_episode_12cco1e,dio_mcm_episode_0yfw60g,0.61673,0.39498,0.269596,0.838233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.375,driftzone
dio_mcm_episode_0yfw60g,5,1,STRESS10K_REPRO,offene_variante,dio_0l7i,0.970951,6,4,4,dio_mcm_episode_1a3ydyn,dio_mcm_episode_04e9yp5,0.635068,0.398402,0.230234,0.875113,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,driftzone
dio_mcm_episode_1se7ta6,5,1,STRESS10K_REPRO,offene_variante,dio_1vt3,0.970951,4,3,3,dio_mcm_episode_1sdw56h,dio_mcm_episode_037i64j,0.640031,0.408141,0.20611,0.836896,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,driftzone
dio_mcm_episode_0pxjirg,4,1,STRESS10K_REPRO,offene_variante,dio_0r8k,-0.0,6,4,4,dio_mcm_episode_0tre8bg,dio_mcm_episode_0ifxej6,0.620951,0.377326,0.236881,0.825314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,driftzone
dio_mcm_episode_0klkeyl,3,1,STRESS10K_REPRO,offene_variante,dio_0u9j,0.918296,5,3,3,dio_mcm_episode_1f23fki,dio_mcm_episode_04e9yp5,0.640512,0.413304,0.221049,0.876837,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.666667,0.0,driftzone
dio_mcm_episode_0p2lp5j,3,1,STRESS10K_REPRO,spannungsrand_kippnaehe,dio_0pu8,0.918296,3,2,2,dio_mcm_episode_1aolvg6,dio_mcm_episode_0pclaui,0.605171,0.346599,0.267965,0.826211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.666667,driftzone
dio_mcm_episode_0x44t5z,3,1,STRESS10K_REPRO,spannungsrand_kippnaehe,dio_1k2e,0.918296,4,2,2,dio_mcm_episode_12mc9qd,dio_mcm_episode_0pclaui,0.635888,0.446236,0.296154,0.843118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.666667,driftzone
dio_mcm_episode_0ypvrpf,3,1,STRESS10K_REPRO,zentrum_stabil,dio_1udw,0.918296,5,3,3,dio_mcm_episode_0q44xpb,dio_mcm_episode_0x7d4av,0.637922,0.415304,0.224506,0.850293,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.333333,0.0,driftzone
dio_mcm_episode_1aca4ww,3,1,STRESS10K_REPRO,spannungsrand_kippnaehe,dio_1bta,0.918296,2,1,1,dio_mcm_episode_0pclaui,dio_mcm_episode_1hu3kwt,0.607612,0.417983,0.289761,0.790384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.666667,driftzone
dio_mcm_episode_1i4013t,3,1,STRESS10K_REPRO,spannungsrand_kippnaehe,dio_1u7j,0.918296,2,1,1,dio_mcm_episode_1a2dopw,dio_mcm_episode_1d26rcr,0.594288,0.361148,0.284501,0.778615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.666667,driftzone
dio_mcm_episode_1l4hk1v,3,1,STRESS10K_REPRO,spannungsrand_kippnaehe,dio_0q96,0.918296,3,2,2,dio_mcm_episode_184v00l,dio_mcm_episode_0pd12cd,0.590471,0.335651,0.27552,0.783188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.666667,driftzone
dio_mcm_episode_044ad06,2,1,STRESS10K_REPRO,offene_variante,dio_0skh,1.0,4,2,2,dio_mcm_episode_1y0vyym,dio_mcm_episode_0kp3b2a,0.64393,0.450035,0.231268,0.843005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,driftzone
dio_mcm_episode_071u8lf,2,1,STRESS10K_REPRO,spannungsrand_kippnaehe,dio_0wij,1.0,2,1,1,dio_mcm_episode_1leh5qu,dio_mcm_episode_0pclaui,0.608821,0.351677,0.253665,0.824396,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,driftzone
dio_mcm_episode_0pd12cd,2,1,STRESS10K_REPRO,spannungsrand_kippnaehe,dio_136i,1.0,2,1,1,dio_mcm_episode_1l4hk1v,dio_mcm_episode_0pclaui,0.624738,0.392083,0.248417,0.856272,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,driftzone
dio_mcm_episode_0xi103f,2,1,STRESS10K_REPRO,offene_variante,dio_0grk,1.0,4,2,2,dio_mcm_episode_1xh7gkf,dio_mcm_episode_0lpteks,0.624958,0.377787,0.229286,0.845485,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,driftzone
dio_mcm_episode_12hnbk0,2,1,STRESS10K_REPRO,zentrum_stabil,dio_0mky,1.0,2,1,1,dio_mcm_episode_1ndxtdm,dio_mcm_episode_0pmkwjh,0.612987,0.336713,0.222931,0.816695,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,driftzone
dio_mcm_episode_1adxznm,2,1,STRESS10K_REPRO,spannungsrand_kippnaehe,dio_1wd7,1.0,3,2,2,dio_mcm_episode_1fc319h,dio_mcm_episode_1a3ydyn,0.609179,0.40044,0.287285,0.808647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,driftzone
dio_mcm_episode_1aolvg6,2,1,STRESS10K_REPRO,offene_variante,dio_1m23,1.0,4,2,2,dio_mcm_episode_19anuzb,dio_mcm_episode_0p2lp5j,0.602186,0.394249,0.305126,0.808143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,driftzone
dio_mcm_episode_1leh5qu,2,1,STRESS10K_REPRO,offene_variante,dio_0deh,1.0,4,2,2,dio_mcm_episode_0h9a9ar,dio_mcm_episode_071u8lf,0.594427,0.333306,0.293071,0.805476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,driftzone
dio_mcm_episode_1u9hoa9,2,1,STRESS10K_REPRO,zentrum_stabil,dio_0fh6,1.0,4,2,2,dio_mcm_episode_0ifxej6,dio_mcm_episode_0x7d4av,0.640019,0.410335,0.219211,0.877474,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,driftzone
dio_mcm_episode_08bg8gu,1,1,STRESS10K_REPRO,offene_variante,dio_0ihk,-0.0,2,1,1,dio_mcm_episode_1a3ydyn,dio_mcm_episode_0ypvrpf,0.641314,0.453807,0.257358,0.878284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,junge_spur
dio_mcm_episode_08bs95t,1,1,STRESS10K_REPRO,spannungsrand_kippnaehe,dio_1qrn,-0.0,2,1,1,dio_mcm_episode_12nckix,dio_mcm_episode_0p2lp5j,0.575536,0.380658,0.341227,0.738082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,junge_spur
dio_mcm_episode_08lfu5t,1,1,STRESS10K_REPRO,offene_variante,dio_1tz3,-0.0,2,1,1,dio_mcm_episode_0klkeyl,dio_mcm_episode_0xaxrvv,0.64127,0.457666,0.256045,0.875007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,junge_spur
dio_mcm_episode_09y78yy,1,1,STRESS10K_REPRO,spannungsrand_kippnaehe,dio_1kdn,-0.0,2,1,1,dio_mcm_episode_183drjy,dio_mcm_episode_1anxlcl,0.57946,0.394543,0.397629,0.766721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,junge_spur
