label,weltgruppe,achsenklasse,rollenbreite_klasse,rollen,kombinationen,rollen_reaktiviert,kombinationen_voll,reaktivierungsquote,kombinationsquote,cross_state,same_state,avg_co_touch,min_co_touch,avg_resonanz,syntax,stabil,tragend_unruhig,kippend,gespannt,field_carried,field_strained,rekopplung,adaptive_rekopplung,adaptive_rekopplung_delta,adaptive_rekopplung_experience,adaptive_weight_carry,adaptive_weight_alignment,adaptive_weight_strain_relief,adaptive_weight_sensory,carry,strain,sensory,nachhall,neuro_load,neuro_balance,data_path,follow_data_path,base_rows,base_drift,base_abs_drift,base_avg_abs_return,base_p95_abs_return,base_avg_range,base_p95_range,base_avg_volume_change,base_direction_change_ratio,base_direction_persistence,base_world_energy,follow_rows,follow_drift,follow_abs_drift,follow_avg_abs_return,follow_p95_abs_return,follow_avg_range,follow_p95_range,follow_avg_volume_change,follow_direction_change_ratio,follow_direction_persistence,follow_world_energy,follow_minus_base_energy,follow_minus_base_abs_drift,follow_minus_base_range
BTC_2025_FOLLOW_5000_6000,BTC_2025_LOCAL_SEQ_LATE,verteilt_offen,verteilt,5,10,2,1,0.4,0.1,6,4,0.3336668,0.156667,0.2308402,287,967,27,0,0,0,0,0.686624,0.721789,0.035165,0.49156,0.314701,0.223263,0.261616,0.200419,0.498459,0.165598,0.835326,0.279654,0.10432,0.324109,data\btc_2025_follow_candidate_5000_6000.csv,data\btc_2025_follow_candidate_6000_7000.csv,1000.0,0.03718136725015104,0.03718136725015104,0.001883816006114085,0.005792908367359175,0.0035209240528694236,0.008916042695568754,0.46315618443606776,0.49599198396793587,0.5040080160320641,4.117117653716524,1000.0,-0.022558968938184678,0.022558968938184678,0.0012443579034891628,0.003596838967421387,0.0023773901553450394,0.005591529547870755,0.5409559295626318,0.5,0.5,2.6488079009669723,-1.4683097527495517,-0.01462239831196636,-0.0011435338975243842
BTC_2025_FOLLOW_6000_7000,BTC_2025_LOCAL_SEQ_LATE,mittlere_uebergangsphase,mittel,3,3,2,1,0.666667,0.333333,2,1,0.15,0.09,0.3613223333333333,277,968,26,0,0,0,0,0.688127,0.731505,0.04337799999999992,0.591717,0.292786,0.219947,0.274457,0.212811,0.500451,0.164768,0.837992,0.289999,0.103456,0.327528,data\btc_2025_follow_candidate_6000_7000.csv,data\btc_2025_follow_candidate_7000_8000.csv,1000.0,-0.022558968938184678,0.022558968938184678,0.0012443579034891628,0.003596838967421387,0.0023773901553450394,0.005591529547870755,0.5409559295626318,0.5,0.5,2.6488079009669723,1000.0,-0.017644054888915503,0.017644054888915503,0.0010261089448272713,0.0033191916772113135,0.0018544875154841533,0.004968528348116953,0.565424497041735,0.5120240480961924,0.4879759519038076,2.3036648383942637,-0.34514306257270855,-0.004914914049269175,-0.0005229026398608861
BTC_2025_FOLLOW_7000_8000,BTC_2025_LOCAL_SEQ_LATE,verteilt_offen,verteilt,7,18,2,1,0.285714,0.055556,12,6,0.5288888333333334,0.053333,0.19418105555555554,334,973,21,0,0,0,0,0.681067,0.711419,0.030352000000000046,0.489437,0.330742,0.226207,0.25318,0.189871,0.487894,0.166401,0.828042,0.218644,0.109115,0.30619,data\btc_2025_follow_candidate_7000_8000.csv,data\btc_2025_follow_candidate_8000_9000.csv,1000.0,-0.017644054888915503,0.017644054888915503,0.0010261089448272713,0.0033191916772113135,0.0018544875154841533,0.004968528348116953,0.565424497041735,0.5120240480961924,0.4879759519038076,2.3036648383942637,1000.0,-0.0003542159500166086,0.0003542159500166086,0.0009359059753820812,0.002603864087266853,0.0017257526211038557,0.004053097785024292,0.5937688746900055,0.5200400801603207,0.47995991983967934,1.9434503853488958,-0.3602144530453679,-0.017289838938898894,-0.0001287348943802976
BTC_2025_FOLLOW_8000_9000,BTC_2025_LOCAL_SEQ_LATE,verteilt_offen,verteilt,5,10,3,3,0.6,0.3,6,2,0.3263332,0.013333,0.2398234,253,986,8,0,0,0,0,0.689468,0.732795,0.043327000000000004,0.541247,0.293182,0.22068,0.273909,0.212229,0.501623,0.163517,0.842229,0.289201,0.102622,0.329586,data\btc_2025_follow_candidate_8000_9000.csv,data\btc_2025_follow_candidate_9000_10000.csv,1000.0,-0.0003542159500166086,0.0003542159500166086,0.0009359059753820812,0.002603864087266853,0.0017257526211038557,0.004053097785024292,0.5937688746900055,0.5200400801603207,0.47995991983967934,1.9434503853488958,1000.0,-0.031077271220567013,0.031077271220567013,0.001459853424109089,0.004350474714479771,0.002815307153835028,0.006849631359836918,0.4885625555723576,0.5040080160320641,0.49599198396793587,3.1789483058996835,1.2354979205507877,0.030723055270550404,0.0010895545327311723
DOGE_2025_FOLLOW_5000_6000,DOGE_2025_LOCAL_SEQ_LATE,verteilt_offen,verteilt,6,15,3,3,0.5,0.2,9,6,0.14066666666666666,0.013333,0.2169322,262,975,19,0,0,0,0,0.688901,0.718806,0.02990499999999996,0.434664,0.329176,0.225874,0.25294,0.19201,0.502025,0.164933,0.839737,0.299711,0.103001,0.32994,data\doge_2025_follow_candidate_5000_6000.csv,data\doge_2025_follow_candidate_6000_7000.csv,1000.0,-0.038372063936763685,0.038372063936763685,0.004107746657375708,0.011699545119998694,0.008084109100558517,0.018200816808670698,0.5613519209443175,0.503006012024048,0.49699398797595196,8.621347384626937,1000.0,-0.09248509774318663,0.09248509774318663,0.0019259407602497198,0.005201622272874859,0.0038853154825594723,0.007511559211043789,0.6649842308069878,0.47194388777555113,0.5280561122244489,3.864998436963727,-4.756348947663209,0.05411303380642294,-0.004198793617999045
DOGE_2025_FOLLOW_6000_7000,DOGE_2025_LOCAL_SEQ_LATE,mittlere_uebergangsphase,mittel,3,3,3,3,1.0,1.0,2,1,0.072222,0.063333,0.34564533333333336,249,976,18,0,0,0,0,0.688504,0.730814,0.04230999999999996,0.557624,0.294258,0.220761,0.273386,0.211595,0.503138,0.166362,0.837391,0.310049,0.102074,0.334318,data\doge_2025_follow_candidate_6000_7000.csv,data\doge_2025_follow_candidate_7000_8000.csv,1000.0,-0.09248509774318663,0.09248509774318663,0.0019259407602497198,0.005201622272874859,0.0038853154825594723,0.007511559211043789,0.6649842308069878,0.47194388777555113,0.5280561122244489,3.864998436963727,1000.0,-0.06776068963542103,0.06776068963542103,0.0019514637234699652,0.005767853499849078,0.003708151674574958,0.008472283263598474,0.6836021455252989,0.4969939879759519,0.503006012024048,4.112219178361406,0.24722074139767924,-0.02472440810776559,-0.00017716380798451408
DOGE_2025_FOLLOW_7000_8000,DOGE_2025_LOCAL_SEQ_LATE,verteilt_offen,verteilt,7,21,2,1,0.285714,0.047619,12,9,0.4336507619047619,0.053333,0.19168885714285713,323,971,23,0,0,0,0,0.679671,0.719355,0.03968399999999994,0.480941,0.303791,0.222425,0.267837,0.205946,0.487066,0.169993,0.827589,0.224527,0.111007,0.304745,data\doge_2025_follow_candidate_7000_8000.csv,data\doge_2025_follow_candidate_8000_9000.csv,1000.0,-0.06776068963542103,0.06776068963542103,0.0019514637234699652,0.005767853499849078,0.003708151674574958,0.008472283263598474,0.6836021455252989,0.4969939879759519,0.503006012024048,4.112219178361406,1000.0,0.011375514972637217,0.011375514972637217,0.001697987027868356,0.004446123527358939,0.0032975336255143383,0.007137745513152528,0.6292151830295124,0.5060120240480962,0.4939879759519038,3.4339278310136563,-0.6782913473477499,-0.05638517466278382,-0.0004106180490606199
DOGE_2025_FOLLOW_8000_9000,DOGE_2025_LOCAL_SEQ_LATE,verteilt_offen,verteilt,6,15,4,6,0.666667,0.4,8,4,0.25,0.013333,0.21745746666666665,244,983,11,0,0,0,0,0.690038,0.7323,0.04226199999999991,0.564219,0.294816,0.220959,0.272838,0.211387,0.504068,0.164175,0.840643,0.306911,0.101145,0.334959,data\doge_2025_follow_candidate_8000_9000.csv,data\doge_2025_follow_candidate_9000_10000.csv,1000.0,0.011375514972637217,0.011375514972637217,0.001697987027868356,0.004446123527358939,0.0032975336255143383,0.007137745513152528,0.6292151830295124,0.5060120240480962,0.4939879759519038,3.4339278310136563,1000.0,-0.17830826380853787,0.17830826380853787,0.004170349977333655,0.012664173417388996,0.008271000529180804,0.020853262920032898,0.5671373947042371,0.5250501002004008,0.47494989979959923,9.318455819977542,5.884527988963885,0.16693274883590065,0.004973466903666466
XRP_2025_FOLLOW_5000_6000,XRP_2025_LOCAL_SEQ_LATE,verteilt_offen,verteilt,5,10,4,6,0.8,0.6,6,4,0.4333334,0.116667,0.23662710000000003,254,977,17,0,0,0,0,0.687928,0.722528,0.034599999999999964,0.510731,0.315337,0.223679,0.260785,0.200199,0.501705,0.166717,0.837061,0.303456,0.102857,0.330974,data\xrp_2025_follow_candidate_5000_6000.csv,data\xrp_2025_follow_candidate_6000_7000.csv,1000.0,0.023339088176993397,0.023339088176993397,0.003350326342977022,0.009664734303911626,0.006551513266365862,0.01396760546925567,0.4804248975651737,0.5190380761523046,0.4809619238476954,6.912951243151116,1000.0,-0.029078502566670765,0.029078502566670765,0.0017258761818721227,0.004854825948442999,0.0034164530864949235,0.007251843047770009,0.591343299713495,0.531062124248497,0.46893787575150303,3.574667900547224,-3.3382833426038916,0.0057394143896773685,-0.0031350601798709383
XRP_2025_FOLLOW_6000_7000,XRP_2025_LOCAL_SEQ_LATE,verteilt_offen,verteilt,8,25,5,8,0.625,0.32,15,10,0.26653336,0.013333,0.19826084000000002,260,975,19,0,0,0,0,0.689787,0.723877,0.034089999999999954,0.534485,0.316722,0.224098,0.260089,0.199092,0.504255,0.165192,0.83984,0.316071,0.102241,0.333615,data\xrp_2025_follow_candidate_6000_7000.csv,data\xrp_2025_follow_candidate_7000_8000.csv,1000.0,-0.029078502566670765,0.029078502566670765,0.0017258761818721227,0.004854825948442999,0.0034164530864949235,0.007251843047770009,0.591343299713495,0.531062124248497,0.46893787575150303,3.574667900547224,1000.0,0.014559041422405434,0.014559041422405434,0.0019346250120993948,0.006074141297194379,0.0037498378254481445,0.009545502186344137,0.55218926297393,0.48296593186372744,0.5170340681362726,4.350404693912632,0.7757367933654082,-0.014519461144265331,0.00033338473895322103
