target_family,neighbor_family,co_memory_count,neighbor_count_sum,avg_cosine,avg_distance,role_reading,major_delta_axis,major_delta,source_profile,target_avg_sehen_form_salience,neighbor_avg_sehen_form_salience,delta_sehen_form_salience,target_avg_sehen_memory_recall,neighbor_avg_sehen_memory_recall,delta_sehen_memory_recall,target_avg_hoeren_stimulation,neighbor_avg_hoeren_stimulation,delta_hoeren_stimulation,target_avg_kontakt_druck,neighbor_avg_kontakt_druck,delta_kontakt_druck,target_avg_feldaufnahme_druck,neighbor_avg_feldaufnahme_druck,delta_feldaufnahme_druck,target_avg_mcm_kohaerenz,neighbor_avg_mcm_kohaerenz,delta_mcm_kohaerenz,target_avg_mcm_spannung,neighbor_avg_mcm_spannung,delta_mcm_spannung,target_avg_mcm_asymmetrie,neighbor_avg_mcm_asymmetrie,delta_mcm_asymmetrie,target_avg_feldsignatur,neighbor_avg_feldsignatur,delta_feldsignatur
dio_14wj,dio_13o0,319,57580,0.98367,0.170154,asymmetrie_minus,mcm_asymmetrie,-0.131011,sonstige:188;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.21769,0.223273,0.005582,0.0,0.0,0.0,0.035602,0.034167,-0.001434,0.0,0.0,0.0,0.030072,0.027118,-0.002955,0.617633,0.722184,0.104552,0.030072,0.027118,-0.002955,0.002775,-0.128236,-0.131011,0.010223,0.011728,0.001505
dio_14wj,dio_1fll,319,126995,0.986691,0.166713,kohaerenz_hoeher,mcm_kohaerenz,0.14485,sonstige:188;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.21769,0.140072,-0.077618,0.0,0.0,0.0,0.035602,0.028887,-0.006715,0.0,0.0,0.0,0.030072,0.020328,-0.009745,0.617633,0.762482,0.14485,0.030072,0.020328,-0.009745,0.002775,6.8e-05,-0.002708,0.010223,0.012024,0.001801
dio_14wj,dio_0n0i,317,81741,0.984628,0.166722,asymmetrie_plus,mcm_asymmetrie,0.127071,sonstige:188;btc:45;doge:25;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.217576,0.222839,0.005262,0.0,0.0,0.0,0.035549,0.031972,-0.003577,0.0,0.0,0.0,0.03004,0.026145,-0.003894,0.617717,0.72126,0.103543,0.03004,0.026145,-0.003894,0.002864,0.129935,0.127071,0.010227,0.011043,0.000816
dio_14wj,dio_1ygx,316,42481,0.98585,0.169895,kohaerenz_hoeher,mcm_kohaerenz,0.135071,sonstige:188;btc:45;doge:25;xrp:24;paxg:24;expansion:3;sideways:3;stress:3;synth:1,0.217584,0.16917,-0.048414,0.0,0.0,0.0,0.035579,0.029416,-0.006163,0.0,0.0,0.0,0.030045,0.022172,-0.007873,0.617803,0.752874,0.135071,0.030045,0.022172,-0.007873,0.002812,-0.084153,-0.086965,0.010229,0.01206,0.001831
dio_14wj,dio_0nlj,313,8825,0.984102,0.181627,asymmetrie_plus,mcm_asymmetrie,0.125329,sonstige:183;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,0.217871,0.230929,0.013058,0.0,0.0,0.0,0.035706,0.081908,0.046202,0.0,0.0,0.0,0.030066,0.047989,0.017923,0.617849,0.732444,0.114595,0.030066,0.047989,0.017923,0.002741,0.12807,0.125329,0.01022,0.011125,0.000905
dio_14wj,dio_06er,310,8516,0.988765,0.166797,kohaerenz_hoeher,mcm_kohaerenz,0.143894,sonstige:179;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.217708,0.159128,-0.05858,0.0,0.0,0.0,0.035899,0.083353,0.047453,0.0,0.0,0.0,0.030202,0.044837,0.014636,0.61749,0.761384,0.143894,0.030202,0.044837,0.014636,0.002621,-0.010091,-0.012712,0.010217,0.011928,0.001711
dio_14wj,dio_0kx9,310,8827,0.9821,0.141987,asymmetrie_plus,mcm_asymmetrie,0.127741,sonstige:179;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.218108,0.263314,0.045206,0.0,0.0,0.0,0.03595,0.035521,-0.000429,0.0,0.0,0.0,0.030182,0.030128,-5.4e-05,0.618052,0.650098,0.032045,0.030182,0.030128,-5.4e-05,0.002872,0.130612,0.127741,0.010213,0.010089,-0.000124
dio_14wj,dio_0g3b,309,55632,0.986229,0.171911,kohaerenz_hoeher,mcm_kohaerenz,0.139606,sonstige:188;btc:45;paxg:24;doge:22;xrp:20;expansion:3;sideways:3;stress:3;synth:1,0.217495,0.16709,-0.050405,0.0,0.0,0.0,0.035484,0.030661,-0.004822,0.0,0.0,0.0,0.029961,0.022601,-0.00736,0.618105,0.757711,0.139606,0.029961,0.022601,-0.00736,0.00288,0.086067,0.083187,0.010242,0.011714,0.001472
dio_14wj,dio_04q7,307,5141,0.959686,0.264436,asymmetrie_plus,mcm_asymmetrie,0.223436,sonstige:179;btc:45;doge:26;xrp:24;paxg:24;expansion:3;sideways:3;stress:3,0.217833,0.263775,0.045942,0.0,0.0,0.0,0.035799,0.084204,0.048405,0.0,0.0,0.0,0.030088,0.050805,0.020717,0.618005,0.733579,0.115575,0.030088,0.050805,0.020717,0.002705,0.226142,0.223436,0.01022,0.010917,0.000698
dio_14wj,dio_1492,303,10607,0.983202,0.185065,asymmetrie_minus,mcm_asymmetrie,-0.129193,sonstige:172;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.218326,0.23518,0.016854,0.0,0.0,0.0,0.035982,0.083765,0.047783,0.0,0.0,0.0,0.03037,0.04897,0.018599,0.616713,0.731205,0.114493,0.03037,0.04897,0.018599,0.002598,-0.126595,-0.129193,0.010199,0.011755,0.001557
