label,source,family,present,count,symbol_count,role_reading,dominant_axes,observation_profile,field_profile,sehen_form_salience,sehen_memory_recall,hoeren_stimulation,kontakt_druck,feldaufnahme_druck,mcm_kohaerenz,mcm_spannung,mcm_asymmetrie,feldsignatur
BTC_2025_1H_CORE_2000_3000,real_btc,dio_104t,1,182,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6159;sehen_form_salience:0.2362;hoeren_stimulation:0.1452;feldaufnahme_druck:0.0790,LONG:95;SHORT:86;WAIT:0,inner_effect_stable:0.9899;inner_effect_carried_unrest:0.0101,0.236223,0.0,0.145207,0.0,0.078958,0.615897,0.078958,-0.010953,0.009759
BTC_2025_1H_CORE_2000_3000,real_btc,dio_0l7p,1,104,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6156;sehen_form_salience:0.2233;hoeren_stimulation:0.0874;feldaufnahme_druck:0.0527,LONG:41;SHORT:60;WAIT:0,inner_effect_stable:0.9899;inner_effect_carried_unrest:0.0101,0.223278,0.0,0.087446,0.0,0.05267,0.615554,0.05267,-0.007512,0.009855
BTC_2025_1H_CORE_2000_3000,real_btc,dio_155c,1,98,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6226;hoeren_stimulation:0.2429;sehen_form_salience:0.2385;feldaufnahme_druck:0.1196,LONG:50;SHORT:47;WAIT:0,inner_effect_stable:0.9899;inner_effect_carried_unrest:0.0101,0.238526,0.0,0.242921,0.0,0.119592,0.62261,0.119592,-0.108065,0.009892
BTC_2025_1H_CORE_2000_3000,real_btc,dio_0m9z,1,98,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6218;sehen_form_salience:0.2426;hoeren_stimulation:0.2358;feldaufnahme_druck:0.1158,LONG:46;SHORT:50;WAIT:0,inner_effect_stable:0.9899;inner_effect_carried_unrest:0.0101,0.242649,0.0,0.235804,0.0,0.115771,0.621782,0.115771,-0.016905,0.00977
BTC_2025_1H_CORE_2000_3000,real_btc,dio_14wj,1,62,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6026;sehen_form_salience:0.2351;hoeren_stimulation:0.0467;feldaufnahme_druck:0.0369,LONG:26;SHORT:35;WAIT:0,inner_effect_stable:0.9899;inner_effect_carried_unrest:0.0101,0.235139,0.0,0.04672,0.0,0.036924,0.602626,0.036924,0.013631,0.009696
BTC_2025_1H_CORE_2000_3000,real_btc,dio_1fll,1,9,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.7390;sehen_form_salience:0.1624;hoeren_stimulation:0.0393;feldaufnahme_druck:0.0260,LONG:4;SHORT:4;WAIT:0,inner_effect_stable:0.9899;inner_effect_carried_unrest:0.0101,0.162431,0.0,0.039303,0.0,0.026021,0.738953,0.026021,0.003545,0.011337
BTC_2025_15M_ZONE_9000_10000,real_btc,dio_104t,1,126,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6149;sehen_form_salience:0.2402;hoeren_stimulation:0.1456;feldaufnahme_druck:0.0784,LONG:66;SHORT:59;WAIT:0,inner_effect_stable:0.9824;inner_effect_carried_unrest:0.0176,0.240183,0.0,0.145644,0.0,0.078361,0.614865,0.078361,-0.009863,0.009684
BTC_2025_15M_ZONE_9000_10000,real_btc,dio_0l7p,1,72,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6123;sehen_form_salience:0.2368;hoeren_stimulation:0.0865;feldaufnahme_druck:0.0521,LONG:29;SHORT:43;WAIT:0,inner_effect_stable:0.9824;inner_effect_carried_unrest:0.0176,0.236751,0.0,0.086481,0.0,0.052142,0.612333,0.052142,0.001066,0.00971
BTC_2025_15M_ZONE_9000_10000,real_btc,dio_155c,1,105,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6121;hoeren_stimulation:0.2503;sehen_form_salience:0.2381;feldaufnahme_druck:0.1241,LONG:53;SHORT:51;WAIT:0,inner_effect_stable:0.9824;inner_effect_carried_unrest:0.0176,0.238072,0.0,0.250339,0.0,0.124134,0.612088,0.124134,-0.108081,0.009699
BTC_2025_15M_ZONE_9000_10000,real_btc,dio_0m9z,1,74,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6176;sehen_form_salience:0.2490;hoeren_stimulation:0.2339;feldaufnahme_druck:0.1143,LONG:36;SHORT:38;WAIT:0,inner_effect_stable:0.9824;inner_effect_carried_unrest:0.0176,0.248962,0.0,0.233873,0.0,0.114347,0.617647,0.114347,-0.004321,0.009547
BTC_2025_15M_ZONE_9000_10000,real_btc,dio_14wj,1,37,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6003;sehen_form_salience:0.2391;hoeren_stimulation:0.0443;feldaufnahme_druck:0.0364,LONG:16;SHORT:20;WAIT:0,inner_effect_stable:0.9824;inner_effect_carried_unrest:0.0176,0.239072,0.0,0.044315,0.0,0.036373,0.600313,0.036373,0.014115,0.009613
BTC_2025_15M_ZONE_9000_10000,real_btc,dio_1fll,1,11,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.7245;sehen_form_salience:0.1588;hoeren_stimulation:0.0398;feldaufnahme_druck:0.0260,LONG:6;SHORT:5;WAIT:0,inner_effect_stable:0.9824;inner_effect_carried_unrest:0.0176,0.158846,0.0,0.039791,0.0,0.026006,0.724516,0.026006,-0.000241,0.011176
BTC_2025_30M_SHIFT_8000_9000,real_btc,dio_104t,1,143,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6099;sehen_form_salience:0.2398;hoeren_stimulation:0.1450;feldaufnahme_druck:0.0795,LONG:73;SHORT:67;WAIT:0,inner_effect_stable:0.9874;inner_effect_carried_unrest:0.0126,0.239815,0.0,0.144979,0.0,0.079498,0.609933,0.079498,-0.004642,0.009648
BTC_2025_30M_SHIFT_8000_9000,real_btc,dio_0l7p,1,95,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6109;sehen_form_salience:0.2355;hoeren_stimulation:0.0898;feldaufnahme_druck:0.0543,LONG:41;SHORT:52;WAIT:0,inner_effect_stable:0.9874;inner_effect_carried_unrest:0.0126,0.235535,0.0,0.089758,0.0,0.054273,0.610919,0.054273,-0.008115,0.009763
BTC_2025_30M_SHIFT_8000_9000,real_btc,dio_155c,1,111,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6154;hoeren_stimulation:0.2478;sehen_form_salience:0.2410;feldaufnahme_druck:0.1224,LONG:68;SHORT:41;WAIT:0,inner_effect_stable:0.9874;inner_effect_carried_unrest:0.0126,0.24097,0.0,0.247819,0.0,0.122421,0.615433,0.122421,-0.101323,0.009762
BTC_2025_30M_SHIFT_8000_9000,real_btc,dio_0m9z,1,91,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6117;sehen_form_salience:0.2484;hoeren_stimulation:0.2370;feldaufnahme_druck:0.1162,LONG:41;SHORT:50;WAIT:0,inner_effect_stable:0.9874;inner_effect_carried_unrest:0.0126,0.248379,0.0,0.23701,0.0,0.116183,0.611694,0.116183,-0.011476,0.009593
BTC_2025_30M_SHIFT_8000_9000,real_btc,dio_14wj,1,51,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6032;sehen_form_salience:0.2334;hoeren_stimulation:0.0434;feldaufnahme_druck:0.0349,LONG:24;SHORT:25;WAIT:0,inner_effect_stable:0.9874;inner_effect_carried_unrest:0.0126,0.233406,0.0,0.043436,0.0,0.034852,0.603232,0.034852,-0.004385,0.009723
BTC_2025_30M_SHIFT_8000_9000,real_btc,dio_1fll,1,12,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.7515;sehen_form_salience:0.1425;hoeren_stimulation:0.0411;feldaufnahme_druck:0.0258,LONG:5;SHORT:7;WAIT:0,inner_effect_stable:0.9874;inner_effect_carried_unrest:0.0126,0.142518,0.0,0.041108,0.0,0.025781,0.7515,0.025781,0.001506,0.011232
PAXG_2025_FOLLOW_1000_2000,real_paxg,dio_104t,1,141,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6107;sehen_form_salience:0.2334;hoeren_stimulation:0.1386;feldaufnahme_druck:0.0776,LONG:55;SHORT:68;WAIT:0,inner_effect_stable:0.9950;inner_effect_carried_unrest:0.0050,0.233416,0.0,0.138614,0.0,0.077557,0.610678,0.077557,-0.011681,0.009681
PAXG_2025_FOLLOW_1000_2000,real_paxg,dio_0l7p,1,100,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6084;sehen_form_salience:0.2217;hoeren_stimulation:0.0846;feldaufnahme_druck:0.0540,LONG:37;SHORT:42;WAIT:0,inner_effect_stable:0.9950;inner_effect_carried_unrest:0.0050,0.22165,0.0,0.084557,0.0,0.053965,0.608447,0.053965,-0.00705,0.009723
PAXG_2025_FOLLOW_1000_2000,real_paxg,dio_155c,1,65,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6148;sehen_form_salience:0.2413;hoeren_stimulation:0.2355;feldaufnahme_druck:0.1172,LONG:29;SHORT:25;WAIT:0,inner_effect_stable:0.9950;inner_effect_carried_unrest:0.0050,0.241319,0.0,0.23548,0.0,0.11718,0.614756,0.11718,-0.103068,0.009806
PAXG_2025_FOLLOW_1000_2000,real_paxg,dio_0m9z,1,73,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6132;hoeren_stimulation:0.2441;sehen_form_salience:0.2419;feldaufnahme_druck:0.1179,LONG:27;SHORT:31;WAIT:0,inner_effect_stable:0.9950;inner_effect_carried_unrest:0.0050,0.241904,0.0,0.244131,0.0,0.117936,0.613193,0.117936,-0.00709,0.009596
PAXG_2025_FOLLOW_1000_2000,real_paxg,dio_14wj,1,160,1,sehen_kohaerenz_getragen,mcm_kohaerenz:0.5890;sehen_form_salience:0.2066;feldaufnahme_druck:0.0353;mcm_spannung:0.0353,LONG:79;SHORT:62;WAIT:0,inner_effect_stable:0.9950;inner_effect_carried_unrest:0.0050,0.206648,0.0,0.034763,0.0,0.035252,0.589021,0.035252,-0.001521,0.009508
PAXG_2025_FOLLOW_1000_2000,real_paxg,dio_1fll,1,72,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.7764;sehen_form_salience:0.1435;hoeren_stimulation:0.0324;feldaufnahme_druck:0.0221,LONG:29;SHORT:25;WAIT:0,inner_effect_stable:0.9950;inner_effect_carried_unrest:0.0050,0.143547,0.0,0.032389,0.0,0.022091,0.776416,0.022091,-0.006187,0.011822
PAXG_2025_FOLLOW_2000_3000,real_paxg,dio_104t,1,160,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6110;sehen_form_salience:0.2318;hoeren_stimulation:0.1347;feldaufnahme_druck:0.0768,LONG:73;SHORT:66;WAIT:0,inner_effect_stable:0.9945;inner_effect_carried_unrest:0.0055,0.231774,0.0,0.134714,0.0,0.076766,0.611025,0.076766,-0.009398,0.009708
PAXG_2025_FOLLOW_2000_3000,real_paxg,dio_0l7p,1,110,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6043;sehen_form_salience:0.2344;hoeren_stimulation:0.0826;feldaufnahme_druck:0.0535,LONG:49;SHORT:40;WAIT:0,inner_effect_stable:0.9945;inner_effect_carried_unrest:0.0055,0.234412,0.0,0.082573,0.0,0.053512,0.60434,0.053512,-0.007796,0.009714
PAXG_2025_FOLLOW_2000_3000,real_paxg,dio_155c,1,72,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6181;hoeren_stimulation:0.2337;sehen_form_salience:0.2331;feldaufnahme_druck:0.1158,LONG:36;SHORT:25;WAIT:0,inner_effect_stable:0.9945;inner_effect_carried_unrest:0.0055,0.23311,0.0,0.233716,0.0,0.1158,0.618053,0.1158,-0.103229,0.009831
PAXG_2025_FOLLOW_2000_3000,real_paxg,dio_0m9z,1,65,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6129;hoeren_stimulation:0.2443;sehen_form_salience:0.2421;feldaufnahme_druck:0.1183,LONG:29;SHORT:24;WAIT:0,inner_effect_stable:0.9945;inner_effect_carried_unrest:0.0055,0.242092,0.0,0.244322,0.0,0.118269,0.612927,0.118269,-0.016572,0.009556
PAXG_2025_FOLLOW_2000_3000,real_paxg,dio_14wj,1,190,1,sehen_kohaerenz_getragen,mcm_kohaerenz:0.5896;sehen_form_salience:0.2074;feldaufnahme_druck:0.0335;mcm_spannung:0.0335,LONG:85;SHORT:70;WAIT:0,inner_effect_stable:0.9945;inner_effect_carried_unrest:0.0055,0.207407,0.0,0.031849,0.0,0.033513,0.589559,0.033513,-0.002719,0.009534
PAXG_2025_FOLLOW_2000_3000,real_paxg,dio_1fll,1,79,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.7770;sehen_form_salience:0.1419;hoeren_stimulation:0.0313;feldaufnahme_druck:0.0215,LONG:32;SHORT:23;WAIT:0,inner_effect_stable:0.9945;inner_effect_carried_unrest:0.0055,0.141907,0.0,0.031324,0.0,0.02154,0.776963,0.02154,-0.008735,0.011834
PAXG_2025_FOLLOW_3000_4000,real_paxg,dio_104t,1,150,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6103;sehen_form_salience:0.2297;hoeren_stimulation:0.1404;feldaufnahme_druck:0.0780,LONG:80;SHORT:57;WAIT:0,inner_effect_stable:0.9925;inner_effect_carried_unrest:0.0075,0.22965,0.0,0.140376,0.0,0.078042,0.610317,0.078042,-0.005557,0.009715
PAXG_2025_FOLLOW_3000_4000,real_paxg,dio_0l7p,1,83,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6121;sehen_form_salience:0.2319;hoeren_stimulation:0.0849;feldaufnahme_druck:0.0534,LONG:39;SHORT:33;WAIT:0,inner_effect_stable:0.9925;inner_effect_carried_unrest:0.0075,0.231926,0.0,0.08495,0.0,0.05335,0.612111,0.05335,-0.000185,0.009771
PAXG_2025_FOLLOW_3000_4000,real_paxg,dio_155c,1,82,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6259;sehen_form_salience:0.2368;hoeren_stimulation:0.2365;feldaufnahme_druck:0.1172,LONG:44;SHORT:25;WAIT:0,inner_effect_stable:0.9925;inner_effect_carried_unrest:0.0075,0.236831,0.0,0.236502,0.0,0.117243,0.625897,0.117243,-0.107588,0.009937
PAXG_2025_FOLLOW_3000_4000,real_paxg,dio_0m9z,1,73,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6201;sehen_form_salience:0.2419;hoeren_stimulation:0.2365;feldaufnahme_druck:0.1156,LONG:41;SHORT:27;WAIT:0,inner_effect_stable:0.9925;inner_effect_carried_unrest:0.0075,0.241924,0.0,0.236505,0.0,0.115576,0.620072,0.115576,-0.010162,0.009697
PAXG_2025_FOLLOW_3000_4000,real_paxg,dio_14wj,1,127,1,sehen_kohaerenz_getragen,mcm_kohaerenz:0.5963;sehen_form_salience:0.2124;feldaufnahme_druck:0.0322;mcm_spannung:0.0322,LONG:53;SHORT:51;WAIT:0,inner_effect_stable:0.9925;inner_effect_carried_unrest:0.0075,0.212402,0.0,0.031713,0.0,0.032228,0.596253,0.032228,0.001469,0.009603
PAXG_2025_FOLLOW_3000_4000,real_paxg,dio_1fll,1,48,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.7781;sehen_form_salience:0.1361;hoeren_stimulation:0.0262;feldaufnahme_druck:0.0190,LONG:20;SHORT:16;WAIT:0,inner_effect_stable:0.9925;inner_effect_carried_unrest:0.0075,0.136075,0.0,0.02622,0.0,0.019001,0.77807,0.019001,0.005387,0.011754
SYN1787_BASE_TO_FOLLOW,synthetisch,dio_104t,0,0,0,nicht_aktiv,-,-,inner_effect_stable:1.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN1787_BASE_TO_FOLLOW,synthetisch,dio_0l7p,1,1,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.6069;sehen_form_salience:0.1916;hoeren_stimulation:0.0703;feldaufnahme_druck:0.0471,LONG:1;SHORT:0;WAIT:0,inner_effect_stable:1.0000,0.19156,0.0,0.070271,0.0,0.047132,0.606856,0.047132,0.04357,0.010572
SYN1787_BASE_TO_FOLLOW,synthetisch,dio_155c,0,0,0,nicht_aktiv,-,-,inner_effect_stable:1.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN1787_BASE_TO_FOLLOW,synthetisch,dio_0m9z,0,0,0,nicht_aktiv,-,-,inner_effect_stable:1.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN1787_BASE_TO_FOLLOW,synthetisch,dio_14wj,1,43,1,sehen_kohaerenz_getragen,mcm_kohaerenz:0.5814;sehen_form_salience:0.1955;feldaufnahme_druck:0.0339;mcm_spannung:0.0339,LONG:19;SHORT:24;WAIT:0,inner_effect_stable:1.0000,0.195501,0.0,0.03073,0.0,0.03394,0.581372,0.03394,0.012577,0.010229
SYN1787_BASE_TO_FOLLOW,synthetisch,dio_1fll,1,2055,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.7775;sehen_form_salience:0.1233;hoeren_stimulation:0.0205;feldaufnahme_druck:0.0158,LONG:1001;SHORT:1054;WAIT:0,inner_effect_stable:1.0000,0.123287,0.0,0.020531,0.0,0.015815,0.777546,0.015815,0.000836,0.012587
SYN1788_BASE_TO_FOLLOW,synthetisch,dio_104t,0,0,0,nicht_aktiv,-,-,inner_effect_stable:1.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN1788_BASE_TO_FOLLOW,synthetisch,dio_0l7p,0,0,0,nicht_aktiv,-,-,inner_effect_stable:1.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN1788_BASE_TO_FOLLOW,synthetisch,dio_155c,0,0,0,nicht_aktiv,-,-,inner_effect_stable:1.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN1788_BASE_TO_FOLLOW,synthetisch,dio_0m9z,0,0,0,nicht_aktiv,-,-,inner_effect_stable:1.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN1788_BASE_TO_FOLLOW,synthetisch,dio_14wj,1,184,1,sehen_kohaerenz_getragen,mcm_kohaerenz:0.5956;sehen_form_salience:0.1971;feldaufnahme_druck:0.0266;mcm_spannung:0.0266,LONG:82;SHORT:102;WAIT:0,inner_effect_stable:1.0000,0.19712,0.0,0.018753,0.0,0.026644,0.595589,0.026644,0.0017,0.010162
SYN1788_BASE_TO_FOLLOW,synthetisch,dio_1fll,1,1962,1,hoeren_kohaerenz_getragen,mcm_kohaerenz:0.7677;sehen_form_salience:0.1357;hoeren_stimulation:0.0407;feldaufnahme_druck:0.0252,LONG:938;SHORT:1024;WAIT:0,inner_effect_stable:1.0000,0.135738,0.0,0.040666,0.0,0.02523,0.767651,0.02523,-0.004613,0.012431
