label,weltgruppe,achsenklasse,rollenbreite_klasse,rollen,kombinationen,rollen_reaktiviert,kombinationen_voll,reaktivierungsquote,kombinationsquote,cross_state,same_state,avg_co_touch,min_co_touch,avg_resonanz,syntax,stabil,tragend_unruhig,kippend,gespannt,field_carried,field_strained,rekopplung,adaptive_rekopplung,adaptive_rekopplung_delta,adaptive_rekopplung_experience,adaptive_weight_carry,adaptive_weight_alignment,adaptive_weight_strain_relief,adaptive_weight_sensory,carry,strain,sensory,nachhall,neuro_load,neuro_balance,data_path,follow_data_path
SYN1764_A_0_1000,SYN1764_A,kompakt_nachhallend,kompakt,1,0,1,0,1.0,0.0,0,0,0.0,0.0,0.0,13,994,0,0,0,0,0,0.75547,0.75547,0.0,0.0,0.42,0.24,0.2,0.14,0.611448,0.117039,0.91851,0.805183,0.035802,0.519237,data\synthetic_1764_a_0_1000.csv,data\synthetic_1764_a_1000_2000.csv
SYN1764_A_1000_2000,SYN1764_A,kompakt_nachhallend,kompakt,1,0,1,0,1.0,0.0,0,0,0.0,0.0,0.0,12,994,0,0,0,0,0,0.7534,0.7534,0.0,0.0,0.42,0.24,0.2,0.14,0.608307,0.116505,0.91593,0.782246,0.03712,0.51597,data\synthetic_1764_a_1000_2000.csv,data\synthetic_1764_a_2000_3000.csv
SYN1764_A_2000_3000,SYN1764_A,kompakt_nachhallend,kompakt,1,0,1,0,1.0,0.0,0,0,0.0,0.0,0.0,18,994,0,0,0,0,0,0.751921,0.751921,0.0,0.0,0.42,0.24,0.2,0.14,0.604003,0.115579,0.915784,0.751835,0.038438,0.509268,data\synthetic_1764_a_2000_3000.csv,data\synthetic_1764_a_3000_4000.csv
SYN1764_A_3000_4000,SYN1764_A,kompakt_nachhallend,kompakt,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,12,994,0,0,0,0,0,0.75447,0.75447,0.0,0.0,0.42,0.24,0.2,0.14,0.608915,0.116467,0.917515,0.786493,0.036613,0.516154,data\synthetic_1764_a_3000_4000.csv,data\synthetic_1764_a_4000_5000.csv
SYN1764_B_0_1000,SYN1764_B,kompakt_nachhallend,kompakt,1,0,1,0,1.0,0.0,0,0,0.0,0.0,0.0,13,994,0,0,0,0,0,0.755505,0.755505,0.0,0.0,0.42,0.24,0.2,0.14,0.611537,0.117058,0.918517,0.805677,0.035812,0.519308,data\synthetic_1764_b_0_1000.csv,data\synthetic_1764_b_1000_2000.csv
SYN1764_B_1000_2000,SYN1764_B,kompakt_nachhallend,kompakt,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,11,994,0,0,0,0,0,0.753607,0.753607,0.0,0.0,0.42,0.24,0.2,0.14,0.609404,0.116702,0.915655,0.791544,0.036952,0.517884,data\synthetic_1764_b_1000_2000.csv,data\synthetic_1764_b_2000_3000.csv
SYN1764_B_2000_3000,SYN1764_B,kompakt_nachhallend,kompakt,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,39,994,0,0,0,0,0,0.746841,0.746841,0.0,0.0,0.42,0.24,0.2,0.14,0.592787,0.116676,0.913393,0.676535,0.043467,0.489297,data\synthetic_1764_b_2000_3000.csv,data\synthetic_1764_b_3000_4000.csv
SYN1764_B_3000_4000,SYN1764_B,mittlere_uebergangsphase,mittel,3,3,0,0,0.0,0.0,2,0,1.0,1.0,0.3333333333333333,27,993,1,0,0,0,0,0.750783,0.778847,0.028063999999999978,0.0797,0.326348,0.224136,0.254251,0.195265,0.602161,0.117091,0.914379,0.743779,0.040633,0.504376,data\synthetic_1764_b_3000_4000.csv,data\synthetic_1764_b_4000_5000.csv
SYN1764_C_0_1000,SYN1764_C,kompakt_nachhallend,kompakt,1,0,1,0,1.0,0.0,0,0,0.0,0.0,0.0,13,994,0,0,0,0,0,0.755499,0.755499,0.0,0.0,0.42,0.24,0.2,0.14,0.611572,0.117094,0.918494,0.806582,0.035803,0.519451,data\synthetic_1764_c_0_1000.csv,data\synthetic_1764_c_1000_2000.csv
SYN1764_C_1000_2000,SYN1764_C,kompakt_nachhallend,kompakt,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,14,994,0,0,0,0,0,0.752889,0.752889,0.0,0.0,0.42,0.24,0.2,0.14,0.607108,0.116252,0.915848,0.773675,0.037246,0.514195,data\synthetic_1764_c_1000_2000.csv,data\synthetic_1764_c_2000_3000.csv
SYN1764_C_2000_3000,SYN1764_C,kompakt_nachhallend,kompakt,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,134,994,0,0,0,0,0,0.723592,0.723592,0.0,0.0,0.42,0.24,0.2,0.14,0.552362,0.13199,0.884059,0.466385,0.06468,0.421259,data\synthetic_1764_c_2000_3000.csv,data\synthetic_1764_c_3000_4000.csv
SYN1764_C_3000_4000,SYN1764_C,kompakt_nachhallend,kompakt,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10,994,0,0,0,0,0,0.753822,0.753822,0.0,0.0,0.42,0.24,0.2,0.14,0.611643,0.117047,0.915155,0.808348,0.036961,0.521378,data\synthetic_1764_c_3000_4000.csv,data\synthetic_1764_c_4000_5000.csv
