label,weltgruppe,achsenklasse,rollenbreite_klasse,rollen,kombinationen,rollen_reaktiviert,kombinationen_voll,reaktivierungsquote,kombinationsquote,cross_state,same_state,avg_co_touch,min_co_touch,avg_resonanz,syntax,stabil,tragend_unruhig,kippend,gespannt,field_carried,field_strained,rekopplung,adaptive_rekopplung,adaptive_rekopplung_delta,adaptive_rekopplung_experience,adaptive_weight_carry,adaptive_weight_alignment,adaptive_weight_strain_relief,adaptive_weight_sensory,carry,strain,sensory,nachhall,neuro_load,neuro_balance,data_path,follow_data_path
SYN1766_A_0_1000,SYN1766_A,kompakt_nachhallend,kompakt,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28,994,0,0,0,0,0,0.751668,0.751668,0.0,0.0,0.42,0.24,0.2,0.14,0.603928,0.117534,0.916318,0.756883,0.039792,0.506214,data\synthetic_1766_a_0_1000.csv,data\synthetic_1766_a_1000_2000.csv
SYN1766_A_1000_2000,SYN1766_A,kompakt_nachhallend,kompakt,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28,994,0,0,0,0,0,0.750177,0.750177,0.0,0.0,0.42,0.24,0.2,0.14,0.600052,0.117347,0.914506,0.729569,0.041077,0.500705,data\synthetic_1766_a_1000_2000.csv,data\synthetic_1766_a_2000_3000.csv
SYN1766_A_2000_3000,SYN1766_A,kompakt_nachhallend,kompakt,1,0,1,0,1.0,0.0,0,0,0.0,0.0,0.0,37,994,0,0,0,0,0,0.747845,0.747845,0.0,0.0,0.42,0.24,0.2,0.14,0.594895,0.117546,0.913872,0.693566,0.043577,0.491351,data\synthetic_1766_a_2000_3000.csv,data\synthetic_1766_a_3000_4000.csv
SYN1766_A_3000_4000,SYN1766_A,kompakt_nachhallend,kompakt,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,26,994,0,0,0,0,0,0.749658,0.749658,0.0,0.0,0.42,0.24,0.2,0.14,0.599877,0.117392,0.914435,0.727042,0.040852,0.501254,data\synthetic_1766_a_3000_4000.csv,data\synthetic_1766_a_4000_5000.csv
SYN1766_B_0_1000,SYN1766_B,kompakt_nachhallend,kompakt,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28,994,0,0,0,0,0,0.751668,0.751668,0.0,0.0,0.42,0.24,0.2,0.14,0.603928,0.117534,0.916318,0.756883,0.039792,0.506214,data\synthetic_1766_b_0_1000.csv,data\synthetic_1766_b_1000_2000.csv
SYN1766_B_1000_2000,SYN1766_B,kompakt_nachhallend,kompakt,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28,994,0,0,0,0,0,0.750177,0.750177,0.0,0.0,0.42,0.24,0.2,0.14,0.600052,0.117347,0.914506,0.729569,0.041077,0.500705,data\synthetic_1766_b_1000_2000.csv,data\synthetic_1766_b_2000_3000.csv
SYN1766_B_2000_3000,SYN1766_B,kompakt_nachhallend,kompakt,1,0,1,0,1.0,0.0,0,0,0.0,0.0,0.0,37,994,0,0,0,0,0,0.747435,0.747435,0.0,0.0,0.42,0.24,0.2,0.14,0.594027,0.119007,0.912964,0.69225,0.043956,0.489886,data\synthetic_1766_b_2000_3000.csv,data\synthetic_1766_b_3000_4000.csv
SYN1766_B_3000_4000,SYN1766_B,kompakt_nachhallend,kompakt,1,0,1,0,1.0,0.0,0,0,0.0,0.0,0.0,30,994,0,0,0,0,0,0.749404,0.749404,0.0,0.0,0.42,0.24,0.2,0.14,0.599432,0.117443,0.914133,0.723559,0.041445,0.499519,data\synthetic_1766_b_3000_4000.csv,data\synthetic_1766_b_4000_5000.csv
SYN1766_C_0_1000,SYN1766_C,kompakt_nachhallend,kompakt,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28,994,0,0,0,0,0,0.751668,0.751668,0.0,0.0,0.42,0.24,0.2,0.14,0.603928,0.117534,0.916318,0.756883,0.039792,0.506214,data\synthetic_1766_c_0_1000.csv,data\synthetic_1766_c_1000_2000.csv
SYN1766_C_1000_2000,SYN1766_C,kompakt_nachhallend,kompakt,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,45,994,0,0,0,0,0,0.74556,0.74556,0.0,0.0,0.42,0.24,0.2,0.14,0.589923,0.118963,0.911884,0.663014,0.045885,0.482526,data\synthetic_1766_c_1000_2000.csv,data\synthetic_1766_c_2000_3000.csv
SYN1766_C_2000_3000,SYN1766_C,kompakt_nachhallend,kompakt,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,22,994,0,0,0,0,0,0.752011,0.752011,0.0,0.0,0.42,0.24,0.2,0.14,0.60495,0.117479,0.915488,0.764956,0.039388,0.508855,data\synthetic_1766_c_2000_3000.csv,data\synthetic_1766_c_3000_4000.csv
SYN1766_C_3000_4000,SYN1766_C,kompakt_nachhallend,kompakt,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,44,994,0,0,0,0,0,0.743472,0.743472,0.0,0.0,0.42,0.24,0.2,0.14,0.588147,0.120421,0.908151,0.654636,0.047132,0.480507,data\synthetic_1766_c_3000_4000.csv,data\synthetic_1766_c_4000_5000.csv
